Run_ID,Time_ms
1,54361
2,54123
3,53757
4,53652
5,53720
6,53848
7,53760
8,53542
9,53921
10,53567
11,53427
12,53486
13,53531
14,53950
15,53685
16,53691
17,53540
18,53661
19,53712
20,53365
