Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
STREAM,134217728,0.54,1,89.31,18.03,Table Not Found
STREAM,134217728,0.54,2,89.08,18.08,Table Not Found
STREAM,134217728,0.54,3,88.44,18.21,Table Not Found
STREAM,134217728,0.54,4,89.97,17.90,Table Not Found
STREAM,134217728,0.54,5,87.50,18.41,Table Not Found
STREAM,134217728,0.54,6,89.43,18.01,Table Not Found
STREAM,134217728,0.54,7,89.50,18.00,Table Not Found
STREAM,134217728,0.54,8,88.97,18.10,Table Not Found
STREAM,134217728,0.54,9,90.36,17.82,Table Not Found
STREAM,134217728,0.54,10,89.96,17.90,Table Not Found
STREAM,134217728,0.54,11,88.13,18.28,Table Not Found
STREAM,134217728,0.54,12,88.29,18.24,Table Not Found
STREAM,134217728,0.54,13,88.14,18.27,Table Not Found
STREAM,134217728,0.54,14,87.21,18.47,Table Not Found
STREAM,134217728,0.54,15,87.51,18.41,Table Not Found
STREAM,134217728,0.54,16,88.24,18.25,Table Not Found
STREAM,134217728,0.54,17,87.95,18.31,Table Not Found
STREAM,134217728,0.54,18,86.19,18.69,Table Not Found
STREAM,134217728,0.54,19,87.90,18.32,Table Not Found
STREAM,134217728,0.54,20,88.68,18.16,Table Not Found
STREAM,134217728,0.54,21,88.74,18.15,Table Not Found
STREAM,134217728,0.54,22,90.63,17.77,Table Not Found
STREAM,134217728,0.54,23,90.84,17.73,Table Not Found
STREAM,134217728,0.54,24,89.15,18.07,Table Not Found
STREAM,134217728,0.54,25,88.81,18.14,Table Not Found
STREAM,134217728,0.54,26,87.62,18.38,Table Not Found
STREAM,134217728,0.54,27,89.14,18.07,Table Not Found
STREAM,134217728,0.54,28,86.82,18.55,Table Not Found
STREAM,134217728,0.54,29,88.30,18.24,Table Not Found
STREAM,134217728,0.54,30,89.59,17.98,Table Not Found
STREAM,134217728,0.54,31,87.95,18.31,Table Not Found
STREAM,134217728,0.54,32,87.68,18.37,Table Not Found
STREAM,134217728,0.54,33,87.36,18.44,Table Not Found
STREAM,134217728,0.54,34,86.70,18.58,Table Not Found
STREAM,134217728,0.54,35,88.62,18.18,Table Not Found
STREAM,134217728,0.54,36,88.40,18.22,Table Not Found
STREAM,134217728,0.54,37,90.76,17.75,Table Not Found
STREAM,134217728,0.54,38,87.76,18.35,Table Not Found
STREAM,134217728,0.54,39,88.41,18.22,Table Not Found
STREAM,134217728,0.54,40,90.05,17.89,Table Not Found
STREAM,134217728,0.54,41,89.17,18.06,Table Not Found
STREAM,134217728,0.54,42,88.85,18.13,Table Not Found
STREAM,134217728,0.54,43,88.57,18.18,Table Not Found
STREAM,134217728,0.54,44,90.72,17.75,Table Not Found
STREAM,134217728,0.54,45,86.91,18.53,Table Not Found
STREAM,134217728,0.54,46,88.56,18.19,Table Not Found
STREAM,134217728,0.54,47,88.34,18.23,Table Not Found
STREAM,134217728,0.54,48,89.27,18.04,Table Not Found
STREAM,134217728,0.54,49,90.60,17.78,Table Not Found
STREAM,134217728,0.54,50,90.11,17.87,Table Not Found
STREAM,268435456,1.07,1,176.00,18.30,Table Not Found
STREAM,268435456,1.07,2,175.05,18.40,Table Not Found
STREAM,268435456,1.07,3,176.06,18.30,Table Not Found
STREAM,268435456,1.07,4,173.78,18.54,Table Not Found
STREAM,268435456,1.07,5,179.27,17.97,Table Not Found
STREAM,268435456,1.07,6,175.78,18.33,Table Not Found
STREAM,268435456,1.07,7,177.64,18.13,Table Not Found
STREAM,268435456,1.07,8,176.74,18.23,Table Not Found
STREAM,268435456,1.07,9,179.17,17.98,Table Not Found
STREAM,268435456,1.07,10,177.39,18.16,Table Not Found
STREAM,268435456,1.07,11,178.76,18.02,Table Not Found
STREAM,268435456,1.07,12,174.65,18.44,Table Not Found
STREAM,268435456,1.07,13,176.22,18.28,Table Not Found
STREAM,268435456,1.07,14,172.89,18.63,Table Not Found
STREAM,268435456,1.07,15,174.39,18.47,Table Not Found
STREAM,268435456,1.07,16,174.26,18.49,Table Not Found
STREAM,268435456,1.07,17,179.15,17.98,Table Not Found
STREAM,268435456,1.07,18,177.29,18.17,Table Not Found
STREAM,268435456,1.07,19,175.50,18.35,Table Not Found
STREAM,268435456,1.07,20,178.29,18.07,Table Not Found
STREAM,268435456,1.07,21,182.45,17.66,Table Not Found
STREAM,268435456,1.07,22,177.16,18.18,Table Not Found
STREAM,268435456,1.07,23,177.30,18.17,Table Not Found
STREAM,268435456,1.07,24,178.98,18.00,Table Not Found
STREAM,268435456,1.07,25,176.89,18.21,Table Not Found
STREAM,268435456,1.07,26,175.43,18.36,Table Not Found
STREAM,268435456,1.07,27,176.52,18.25,Table Not Found
STREAM,268435456,1.07,28,176.41,18.26,Table Not Found
STREAM,268435456,1.07,29,176.89,18.21,Table Not Found
STREAM,268435456,1.07,30,179.05,17.99,Table Not Found
STREAM,268435456,1.07,31,176.76,18.22,Table Not Found
STREAM,268435456,1.07,32,175.65,18.34,Table Not Found
STREAM,268435456,1.07,33,176.50,18.25,Table Not Found
STREAM,268435456,1.07,34,177.61,18.14,Table Not Found
STREAM,268435456,1.07,35,174.92,18.42,Table Not Found
STREAM,268435456,1.07,36,173.40,18.58,Table Not Found
STREAM,268435456,1.07,37,173.28,18.59,Table Not Found
STREAM,268435456,1.07,38,174.26,18.49,Table Not Found
STREAM,268435456,1.07,39,175.21,18.39,Table Not Found
STREAM,268435456,1.07,40,176.90,18.21,Table Not Found
STREAM,268435456,1.07,41,174.37,18.47,Table Not Found
STREAM,268435456,1.07,42,174.23,18.49,Table Not Found
STREAM,268435456,1.07,43,175.13,18.39,Table Not Found
STREAM,268435456,1.07,44,176.55,18.24,Table Not Found
STREAM,268435456,1.07,45,180.15,17.88,Table Not Found
STREAM,268435456,1.07,46,176.89,18.21,Table Not Found
STREAM,268435456,1.07,47,175.58,18.35,Table Not Found
STREAM,268435456,1.07,48,173.81,18.53,Table Not Found
STREAM,268435456,1.07,49,175.48,18.36,Table Not Found
STREAM,268435456,1.07,50,172.92,18.63,Table Not Found
STREAM,536870912,2.15,1,350.08,18.40,Table Not Found
STREAM,536870912,2.15,2,347.07,18.56,Table Not Found
STREAM,536870912,2.15,3,358.28,17.98,Table Not Found
STREAM,536870912,2.15,4,351.26,18.34,Table Not Found
STREAM,536870912,2.15,5,354.95,18.15,Table Not Found
STREAM,536870912,2.15,6,350.03,18.41,Table Not Found
STREAM,536870912,2.15,7,354.08,18.19,Table Not Found
STREAM,536870912,2.15,8,349.66,18.42,Table Not Found
STREAM,536870912,2.15,9,347.82,18.52,Table Not Found
STREAM,536870912,2.15,10,346.59,18.59,Table Not Found
STREAM,536870912,2.15,11,345.26,18.66,Table Not Found
STREAM,536870912,2.15,12,342.84,18.79,Table Not Found
STREAM,536870912,2.15,13,344.43,18.70,Table Not Found
STREAM,536870912,2.15,14,345.16,18.67,Table Not Found
STREAM,536870912,2.15,15,344.94,18.68,Table Not Found
STREAM,536870912,2.15,16,342.57,18.81,Table Not Found
STREAM,536870912,2.15,17,348.12,18.51,Table Not Found
STREAM,536870912,2.15,18,346.36,18.60,Table Not Found
STREAM,536870912,2.15,19,349.95,18.41,Table Not Found
STREAM,536870912,2.15,20,353.90,18.20,Table Not Found
STREAM,536870912,2.15,21,358.50,17.97,Table Not Found
STREAM,536870912,2.15,22,347.00,18.57,Table Not Found
STREAM,536870912,2.15,23,344.61,18.69,Table Not Found
STREAM,536870912,2.15,24,348.00,18.51,Table Not Found
STREAM,536870912,2.15,25,349.96,18.41,Table Not Found
STREAM,536870912,2.15,26,354.70,18.16,Table Not Found
STREAM,536870912,2.15,27,348.29,18.50,Table Not Found
STREAM,536870912,2.15,28,346.47,18.59,Table Not Found
STREAM,536870912,2.15,29,350.56,18.38,Table Not Found
STREAM,536870912,2.15,30,349.11,18.45,Table Not Found
STREAM,536870912,2.15,31,352.61,18.27,Table Not Found
STREAM,536870912,2.15,32,352.96,18.25,Table Not Found
STREAM,536870912,2.15,33,354.85,18.16,Table Not Found
STREAM,536870912,2.15,34,353.36,18.23,Table Not Found
STREAM,536870912,2.15,35,357.45,18.02,Table Not Found
STREAM,536870912,2.15,36,351.78,18.31,Table Not Found
STREAM,536870912,2.15,37,348.06,18.51,Table Not Found
STREAM,536870912,2.15,38,345.78,18.63,Table Not Found
STREAM,536870912,2.15,39,348.19,18.50,Table Not Found
STREAM,536870912,2.15,40,349.78,18.42,Table Not Found
STREAM,536870912,2.15,41,351.04,18.35,Table Not Found
STREAM,536870912,2.15,42,347.97,18.51,Table Not Found
STREAM,536870912,2.15,43,350.98,18.36,Table Not Found
STREAM,536870912,2.15,44,348.52,18.49,Table Not Found
STREAM,536870912,2.15,45,348.20,18.50,Table Not Found
STREAM,536870912,2.15,46,348.95,18.46,Table Not Found
STREAM,536870912,2.15,47,348.73,18.47,Table Not Found
STREAM,536870912,2.15,48,349.26,18.45,Table Not Found
STREAM,536870912,2.15,49,348.02,18.51,Table Not Found
STREAM,536870912,2.15,50,347.02,18.57,Table Not Found
SGEMM,8192,0.27,1,152.26,N/A,Table Not Found
SGEMM,8192,0.27,2,153.09,N/A,Table Not Found
SGEMM,8192,0.27,3,151.49,N/A,Table Not Found
SGEMM,8192,0.27,4,151.58,N/A,Table Not Found
SGEMM,8192,0.27,5,152.13,N/A,Table Not Found
SGEMM,8192,0.27,6,153.65,N/A,Table Not Found
SGEMM,8192,0.27,7,153.15,N/A,Table Not Found
SGEMM,8192,0.27,8,151.70,N/A,Table Not Found
SGEMM,8192,0.27,9,154.11,N/A,Table Not Found
SGEMM,8192,0.27,10,154.01,N/A,Table Not Found
SGEMM,8192,0.27,11,153.04,N/A,Table Not Found
SGEMM,8192,0.27,12,155.09,N/A,Table Not Found
SGEMM,8192,0.27,13,153.90,N/A,Table Not Found
SGEMM,8192,0.27,14,152.79,N/A,Table Not Found
SGEMM,8192,0.27,15,151.50,N/A,Table Not Found
SGEMM,8192,0.27,16,152.04,N/A,Table Not Found
SGEMM,8192,0.27,17,151.05,N/A,Table Not Found
SGEMM,8192,0.27,18,153.01,N/A,Table Not Found
SGEMM,8192,0.27,19,156.08,N/A,Table Not Found
SGEMM,8192,0.27,20,149.73,N/A,Table Not Found
SGEMM,8192,0.27,21,151.99,N/A,Table Not Found
SGEMM,8192,0.27,22,151.86,N/A,Table Not Found
SGEMM,8192,0.27,23,152.29,N/A,Table Not Found
SGEMM,8192,0.27,24,152.48,N/A,Table Not Found
SGEMM,8192,0.27,25,152.69,N/A,Table Not Found
SGEMM,8192,0.27,26,154.29,N/A,Table Not Found
SGEMM,8192,0.27,27,154.94,N/A,Table Not Found
SGEMM,8192,0.27,28,152.12,N/A,Table Not Found
SGEMM,8192,0.27,29,151.30,N/A,Table Not Found
SGEMM,8192,0.27,30,151.80,N/A,Table Not Found
SGEMM,8192,0.27,31,152.99,N/A,Table Not Found
SGEMM,8192,0.27,32,154.28,N/A,Table Not Found
SGEMM,8192,0.27,33,151.79,N/A,Table Not Found
SGEMM,8192,0.27,34,154.15,N/A,Table Not Found
SGEMM,8192,0.27,35,151.93,N/A,Table Not Found
SGEMM,8192,0.27,36,151.83,N/A,Table Not Found
SGEMM,8192,0.27,37,152.99,N/A,Table Not Found
SGEMM,8192,0.27,38,151.79,N/A,Table Not Found
SGEMM,8192,0.27,39,151.39,N/A,Table Not Found
SGEMM,8192,0.27,40,153.17,N/A,Table Not Found
SGEMM,8192,0.27,41,152.07,N/A,Table Not Found
SGEMM,8192,0.27,42,153.51,N/A,Table Not Found
SGEMM,8192,0.27,43,151.99,N/A,Table Not Found
SGEMM,8192,0.27,44,153.10,N/A,Table Not Found
SGEMM,8192,0.27,45,153.11,N/A,Table Not Found
SGEMM,8192,0.27,46,152.22,N/A,Table Not Found
SGEMM,8192,0.27,47,154.82,N/A,Table Not Found
SGEMM,8192,0.27,48,152.39,N/A,Table Not Found
