config,platform,hit_rate_pct,wall_clock_delta_pct,baseline,n_hit,n_wall,notes,source
probe_prefoff_adj,T4,99.2188,,n/a (deterministic positive-control microbenchmark -- no comparable wall-clock baseline exists),256,,"original Gate A probe (GATE_A_report.md, results/phaseB1/)",results/phaseB1/hit_probe/prefoff_adj_batch.bin
probe_t4gate2,T4,99.6094,,n/a (deterministic positive-control microbenchmark -- no comparable wall-clock baseline exists),256,,"restart/rebuild session probe (GATE_A_report.md, results/analysis/)",results/phaseB1/hit_probe/t4gate2_batch.bin
probe_task1_probe,5070Ti,99.6094,,n/a (deterministic positive-control microbenchmark -- no comparable wall-clock baseline exists),256,,GATE_B6_TASK1_REBUILD.md,results/phaseB1/hit_probe_5070ti/task1_probe_batch.bin
cuFFT_p2_stride,T4,3.9380,0.0000,"p0 (same-session, same CSV)",15,15,"size=67108864, matches the legacy 25.47% cell being re-examined",results/phaseB2/cufft_interleaved/cufft_interleaved_times.csv
cuFFT_p2_stride,5070Ti,13.7510,0.0000,"p0 (same-session, same CSV)",15,15,"size=67108864, matches the legacy 25.47% cell being re-examined",results/phaseB2/cufft_interleaved_5070ti/cufft_interleaved_times.csv
oracle_C3,T4_Stencil-24K,0.013198,3.7390,C1 (same-session; C0 not run in this prefetch-OFF sweep session -- see notes),1,15,"hit_rate from rep1 only (ring-clean); wall-clock delta from full 15-rep C1/C3 medians (timing is unaffected by ring saturation, unlike the ring-derived hit count) -- not the same literal reps, each statistic uses its own most representative sample",results/gate3/telemetry/t4_prefetch_off_hitrate_recovered.csv + t4_prefetch_off_times.csv
oracle_C3,T4_GraphBFS-23,0.2357,-0.0859,C1 (same-session; C0 not run in this prefetch-OFF sweep session -- see notes),4,15,"hit_rate from reps1-4 pooled (ring-clean, marginal-diff reconstruction); wall-clock delta from full 15-rep C1/C3 medians, same caveat as Stencil-24K row above",results/gate3/telemetry/t4_prefetch_off_hitrate_recovered.csv + t4_prefetch_off_times.csv
oversub_C3_iters20,5070Ti_N48000,0.0025,176.4533,C0 (real/practical baseline),5,5,OVERSUB_C3_VERIFICATION.md's primary comparison,results/analysis/gate_b9_oversub_mechanism/task2c_c0_threeway_times_MERGED.csv
oversub_C3_iters20,5070Ti_N48000,0.0025,-52.9404,"C1 (crippled, same-mechanism-family baseline)",5,5,"included per this project's post-alarm policy: never leave baseline implicit, and C1-only comparisons were the source of the original false alarm -- both shown",results/analysis/gate_b9_oversub_mechanism/task2c_c0_threeway_times_MERGED.csv
