Run_ID,Time_ms
1,1752
2,1752
3,1753
4,1748
5,1754
6,1753
7,1747
8,1753
9,1749
10,1746
11,1747
12,1747
13,1752
14,1751
15,1763
16,1762
17,1757
18,1744
19,1756
20,1752
