Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
STREAM,536870912,2.15,5,343.35,18.76,Table Not Found
STREAM,536870912,2.15,6,342.16,18.83,Table Not Found
STREAM,536870912,2.15,7,344.36,18.71,Table Not Found
STREAM,536870912,2.15,8,344.54,18.70,Table Not Found
STREAM,536870912,2.15,9,341.58,18.86,Table Not Found
STREAM,536870912,2.15,10,346.80,18.58,Table Not Found
STREAM,536870912,2.15,11,348.69,18.48,Table Not Found
STREAM,536870912,2.15,12,347.26,18.55,Table Not Found
STREAM,536870912,2.15,13,346.94,18.57,Table Not Found
STREAM,536870912,2.15,14,345.32,18.66,Table Not Found
STREAM,536870912,2.15,15,346.93,18.57,Table Not Found
STREAM,536870912,2.15,16,348.99,18.46,Table Not Found
STREAM,536870912,2.15,17,343.76,18.74,Table Not Found
STREAM,536870912,2.15,18,351.21,18.34,Table Not Found
STREAM,536870912,2.15,19,342.50,18.81,Table Not Found
STREAM,536870912,2.15,20,346.92,18.57,Table Not Found
STREAM,536870912,2.15,21,342.30,18.82,Table Not Found
STREAM,536870912,2.15,22,344.48,18.70,Table Not Found
STREAM,536870912,2.15,23,347.87,18.52,Table Not Found
STREAM,536870912,2.15,24,341.40,18.87,Table Not Found
STREAM,536870912,2.15,25,344.29,18.71,Table Not Found
STREAM,536870912,2.15,26,347.02,18.56,Table Not Found
STREAM,536870912,2.15,27,346.15,18.61,Table Not Found
STREAM,536870912,2.15,28,349.68,18.42,Table Not Found
STREAM,536870912,2.15,29,345.10,18.67,Table Not Found
STREAM,536870912,2.15,30,344.51,18.70,Table Not Found
STREAM,536870912,2.15,31,346.60,18.59,Table Not Found
STREAM,536870912,2.15,32,345.55,18.64,Table Not Found
STREAM,536870912,2.15,33,344.19,18.72,Table Not Found
STREAM,536870912,2.15,34,342.31,18.82,Table Not Found
STREAM,536870912,2.15,35,348.13,18.51,Table Not Found
STREAM,536870912,2.15,36,349.99,18.41,Table Not Found
STREAM,536870912,2.15,37,354.97,18.15,Table Not Found
STREAM,536870912,2.15,38,351.51,18.33,Table Not Found
STREAM,536870912,2.15,39,346.13,18.61,Table Not Found
STREAM,536870912,2.15,40,346.33,18.60,Table Not Found
STREAM,536870912,2.15,41,351.49,18.33,Table Not Found
STREAM,536870912,2.15,42,348.83,18.47,Table Not Found
STREAM,536870912,2.15,43,344.39,18.71,Table Not Found
STREAM,536870912,2.15,44,352.09,18.30,Table Not Found
STREAM,536870912,2.15,45,347.23,18.55,Table Not Found
STREAM,536870912,2.15,46,350.07,18.40,Table Not Found
STREAM,536870912,2.15,47,350.19,18.40,Table Not Found
STREAM,536870912,2.15,48,351.59,18.32,Table Not Found
STREAM,536870912,2.15,49,354.94,18.15,Table Not Found
STREAM,536870912,2.15,50,350.76,18.37,Table Not Found
SGEMM,8192,0.27,1,152.33,N/A,Table Not Found
SGEMM,8192,0.27,2,151.28,N/A,Table Not Found
SGEMM,8192,0.27,3,151.86,N/A,Table Not Found
SGEMM,8192,0.27,4,152.61,N/A,Table Not Found
SGEMM,8192,0.27,5,152.47,N/A,Table Not Found
SGEMM,8192,0.27,6,152.91,N/A,Table Not Found
SGEMM,8192,0.27,7,153.33,N/A,Table Not Found
SGEMM,8192,0.27,8,152.45,N/A,Table Not Found
SGEMM,8192,0.27,9,151.78,N/A,Table Not Found
SGEMM,8192,0.27,10,153.88,N/A,Table Not Found
SGEMM,8192,0.27,11,152.33,N/A,Table Not Found
SGEMM,8192,0.27,12,152.33,N/A,Table Not Found
SGEMM,8192,0.27,13,150.96,N/A,Table Not Found
SGEMM,8192,0.27,14,153.33,N/A,Table Not Found
SGEMM,8192,0.27,15,153.30,N/A,Table Not Found
SGEMM,8192,0.27,16,153.93,N/A,Table Not Found
SGEMM,8192,0.27,17,150.66,N/A,Table Not Found
SGEMM,8192,0.27,18,151.90,N/A,Table Not Found
SGEMM,8192,0.27,19,152.16,N/A,Table Not Found
SGEMM,8192,0.27,20,152.61,N/A,Table Not Found
SGEMM,8192,0.27,21,151.48,N/A,Table Not Found
SGEMM,8192,0.27,22,152.69,N/A,Table Not Found
SGEMM,8192,0.27,23,152.02,N/A,Table Not Found
SGEMM,8192,0.27,24,154.32,N/A,Table Not Found
SGEMM,8192,0.27,25,154.59,N/A,Table Not Found
SGEMM,8192,0.27,26,152.45,N/A,Table Not Found
SGEMM,8192,0.27,27,153.00,N/A,Table Not Found
SGEMM,8192,0.27,28,152.37,N/A,Table Not Found
SGEMM,8192,0.27,29,152.09,N/A,Table Not Found
SGEMM,8192,0.27,30,152.36,N/A,Table Not Found
SGEMM,8192,0.27,31,152.15,N/A,Table Not Found
SGEMM,8192,0.27,32,153.52,N/A,Table Not Found
SGEMM,8192,0.27,33,152.08,N/A,Table Not Found
SGEMM,8192,0.27,34,151.73,N/A,Table Not Found
SGEMM,8192,0.27,35,154.74,N/A,Table Not Found
SGEMM,8192,0.27,36,151.23,N/A,Table Not Found
SGEMM,8192,0.27,37,151.06,N/A,Table Not Found
SGEMM,8192,0.27,38,154.45,N/A,Table Not Found
SGEMM,8192,0.27,39,150.19,N/A,Table Not Found
SGEMM,8192,0.27,40,152.55,N/A,Table Not Found
SGEMM,8192,0.27,41,151.85,N/A,Table Not Found
SGEMM,8192,0.27,42,153.15,N/A,Table Not Found
SGEMM,8192,0.27,43,152.35,N/A,Table Not Found
SGEMM,8192,0.27,44,152.63,N/A,Table Not Found
SGEMM,8192,0.27,45,151.66,N/A,Table Not Found
SGEMM,8192,0.27,46,151.47,N/A,Table Not Found
SGEMM,8192,0.27,47,151.86,N/A,Table Not Found
SGEMM,8192,0.27,48,151.90,N/A,Table Not Found
SGEMM,8192,0.27,49,152.74,N/A,Table Not Found
SGEMM,8192,0.27,50,151.27,N/A,Table Not Found
SGEMM,16384,1.07,1,1025.56,N/A,Table Not Found
SGEMM,16384,1.07,2,1027.20,N/A,Table Not Found
SGEMM,16384,1.07,3,1026.61,N/A,Table Not Found
SGEMM,16384,1.07,4,1027.37,N/A,Table Not Found
SGEMM,16384,1.07,5,1028.43,N/A,Table Not Found
SGEMM,16384,1.07,6,1027.83,N/A,Table Not Found
SGEMM,16384,1.07,7,1027.29,N/A,Table Not Found
SGEMM,16384,1.07,8,1030.68,N/A,Table Not Found
SGEMM,16384,1.07,9,1031.14,N/A,Table Not Found
SGEMM,16384,1.07,10,1032.36,N/A,Table Not Found
SGEMM,16384,1.07,11,1029.82,N/A,Table Not Found
SGEMM,16384,1.07,12,1027.88,N/A,Table Not Found
SGEMM,16384,1.07,13,1030.21,N/A,Table Not Found
SGEMM,16384,1.07,14,1027.12,N/A,Table Not Found
SGEMM,16384,1.07,15,1026.65,N/A,Table Not Found
SGEMM,16384,1.07,16,1027.77,N/A,Table Not Found
SGEMM,16384,1.07,17,1030.93,N/A,Table Not Found
SGEMM,16384,1.07,18,1032.33,N/A,Table Not Found
SGEMM,16384,1.07,19,1028.36,N/A,Table Not Found
SGEMM,16384,1.07,20,1035.06,N/A,Table Not Found
SGEMM,16384,1.07,21,1027.87,N/A,Table Not Found
SGEMM,16384,1.07,22,1031.03,N/A,Table Not Found
SGEMM,16384,1.07,23,1030.98,N/A,Table Not Found
SGEMM,16384,1.07,24,1031.76,N/A,Table Not Found
SGEMM,16384,1.07,25,1031.95,N/A,Table Not Found
SGEMM,16384,1.07,26,1030.39,N/A,Table Not Found
SGEMM,16384,1.07,27,1030.24,N/A,Table Not Found
SGEMM,16384,1.07,28,1027.58,N/A,Table Not Found
SGEMM,16384,1.07,29,1031.09,N/A,Table Not Found
SGEMM,16384,1.07,30,1029.05,N/A,Table Not Found
SGEMM,16384,1.07,31,1032.32,N/A,Table Not Found
SGEMM,16384,1.07,32,1031.28,N/A,Table Not Found
SGEMM,16384,1.07,33,1033.19,N/A,Table Not Found
SGEMM,16384,1.07,34,1029.07,N/A,Table Not Found
SGEMM,16384,1.07,35,1028.44,N/A,Table Not Found
SGEMM,16384,1.07,36,1029.33,N/A,Table Not Found
SGEMM,16384,1.07,37,1027.70,N/A,Table Not Found
SGEMM,16384,1.07,38,1031.43,N/A,Table Not Found
SGEMM,16384,1.07,39,1029.79,N/A,Table Not Found
SGEMM,16384,1.07,40,1030.61,N/A,Table Not Found
SGEMM,16384,1.07,41,1030.16,N/A,Table Not Found
SGEMM,16384,1.07,42,1028.50,N/A,Table Not Found
SGEMM,16384,1.07,43,1036.02,N/A,Table Not Found
SGEMM,16384,1.07,44,1030.29,N/A,Table Not Found
SGEMM,16384,1.07,45,1030.48,N/A,Table Not Found
SGEMM,16384,1.07,46,1030.80,N/A,Table Not Found
SGEMM,16384,1.07,47,1029.20,N/A,Table Not Found
SGEMM,16384,1.07,48,1033.04,N/A,Table Not Found
