Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
STREAM,134217728,0.54,1,90.98,17.70,Table Not Found
STREAM,134217728,0.54,2,90.53,17.79,Table Not Found
STREAM,134217728,0.54,3,90.43,17.81,Table Not Found
STREAM,134217728,0.54,4,89.25,18.05,Table Not Found
STREAM,134217728,0.54,5,88.93,18.11,Table Not Found
STREAM,134217728,0.54,6,89.59,17.98,Table Not Found
STREAM,134217728,0.54,7,87.68,18.37,Table Not Found
STREAM,134217728,0.54,8,88.45,18.21,Table Not Found
STREAM,134217728,0.54,9,89.07,18.08,Table Not Found
STREAM,134217728,0.54,10,88.43,18.21,Table Not Found
STREAM,134217728,0.54,11,89.40,18.02,Table Not Found
STREAM,134217728,0.54,12,88.69,18.16,Table Not Found
STREAM,134217728,0.54,13,87.81,18.34,Table Not Found
STREAM,134217728,0.54,14,87.21,18.47,Table Not Found
STREAM,134217728,0.54,15,88.15,18.27,Table Not Found
STREAM,134217728,0.54,16,91.60,17.58,Table Not Found
STREAM,134217728,0.54,17,90.96,17.71,Table Not Found
STREAM,134217728,0.54,18,90.51,17.79,Table Not Found
STREAM,134217728,0.54,19,91.89,17.53,Table Not Found
STREAM,134217728,0.54,20,89.93,17.91,Table Not Found
STREAM,134217728,0.54,21,90.63,17.77,Table Not Found
STREAM,134217728,0.54,22,90.81,17.74,Table Not Found
STREAM,134217728,0.54,23,89.90,17.92,Table Not Found
STREAM,134217728,0.54,24,90.93,17.71,Table Not Found
STREAM,134217728,0.54,25,90.47,17.80,Table Not Found
STREAM,134217728,0.54,26,92.02,17.50,Table Not Found
STREAM,134217728,0.54,27,89.95,17.91,Table Not Found
STREAM,134217728,0.54,28,91.54,17.60,Table Not Found
STREAM,134217728,0.54,29,91.59,17.59,Table Not Found
STREAM,134217728,0.54,30,91.14,17.67,Table Not Found
STREAM,134217728,0.54,31,91.59,17.58,Table Not Found
STREAM,134217728,0.54,32,91.68,17.57,Table Not Found
STREAM,134217728,0.54,33,87.67,18.37,Table Not Found
STREAM,134217728,0.54,34,90.48,17.80,Table Not Found
STREAM,134217728,0.54,35,88.55,18.19,Table Not Found
STREAM,134217728,0.54,36,91.53,17.60,Table Not Found
STREAM,134217728,0.54,37,88.69,18.16,Table Not Found
STREAM,134217728,0.54,38,87.82,18.34,Table Not Found
STREAM,134217728,0.54,39,87.20,18.47,Table Not Found
STREAM,134217728,0.54,40,86.79,18.56,Table Not Found
STREAM,134217728,0.54,41,89.47,18.00,Table Not Found
STREAM,134217728,0.54,42,87.94,18.31,Table Not Found
STREAM,134217728,0.54,43,86.98,18.52,Table Not Found
STREAM,134217728,0.54,44,89.89,17.92,Table Not Found
STREAM,134217728,0.54,45,89.21,18.05,Table Not Found
STREAM,134217728,0.54,46,87.06,18.50,Table Not Found
STREAM,134217728,0.54,47,87.44,18.42,Table Not Found
STREAM,134217728,0.54,48,88.55,18.19,Table Not Found
STREAM,134217728,0.54,49,86.21,18.68,Table Not Found
STREAM,134217728,0.54,50,90.15,17.87,Table Not Found
STREAM,268435456,1.07,1,174.80,18.43,Table Not Found
STREAM,268435456,1.07,2,173.99,18.51,Table Not Found
STREAM,268435456,1.07,3,174.21,18.49,Table Not Found
STREAM,268435456,1.07,4,173.77,18.54,Table Not Found
STREAM,268435456,1.07,5,176.76,18.22,Table Not Found
STREAM,268435456,1.07,6,175.98,18.30,Table Not Found
STREAM,268435456,1.07,7,175.84,18.32,Table Not Found
STREAM,268435456,1.07,8,175.54,18.35,Table Not Found
STREAM,268435456,1.07,9,178.32,18.06,Table Not Found
STREAM,268435456,1.07,10,175.18,18.39,Table Not Found
STREAM,268435456,1.07,11,176.86,18.21,Table Not Found
STREAM,268435456,1.07,12,173.14,18.60,Table Not Found
STREAM,268435456,1.07,13,175.78,18.33,Table Not Found
STREAM,268435456,1.07,14,173.51,18.57,Table Not Found
STREAM,268435456,1.07,15,174.50,18.46,Table Not Found
STREAM,268435456,1.07,16,173.92,18.52,Table Not Found
STREAM,268435456,1.07,17,176.02,18.30,Table Not Found
STREAM,268435456,1.07,18,176.61,18.24,Table Not Found
STREAM,268435456,1.07,19,175.12,18.39,Table Not Found
STREAM,268435456,1.07,20,171.55,18.78,Table Not Found
STREAM,268435456,1.07,21,178.55,18.04,Table Not Found
STREAM,268435456,1.07,22,173.71,18.54,Table Not Found
STREAM,268435456,1.07,23,175.50,18.35,Table Not Found
STREAM,268435456,1.07,24,177.32,18.17,Table Not Found
STREAM,268435456,1.07,25,173.76,18.54,Table Not Found
STREAM,268435456,1.07,26,173.95,18.52,Table Not Found
STREAM,268435456,1.07,27,176.38,18.26,Table Not Found
STREAM,268435456,1.07,28,175.87,18.32,Table Not Found
STREAM,268435456,1.07,29,180.97,17.80,Table Not Found
STREAM,268435456,1.07,30,173.83,18.53,Table Not Found
STREAM,268435456,1.07,31,175.49,18.36,Table Not Found
STREAM,268435456,1.07,32,172.79,18.64,Table Not Found
STREAM,268435456,1.07,33,173.47,18.57,Table Not Found
STREAM,268435456,1.07,34,174.01,18.51,Table Not Found
STREAM,268435456,1.07,35,175.05,18.40,Table Not Found
STREAM,268435456,1.07,36,178.04,18.09,Table Not Found
STREAM,268435456,1.07,37,174.54,18.46,Table Not Found
STREAM,268435456,1.07,38,173.41,18.58,Table Not Found
STREAM,268435456,1.07,39,172.13,18.71,Table Not Found
STREAM,268435456,1.07,40,177.26,18.17,Table Not Found
STREAM,268435456,1.07,41,173.52,18.56,Table Not Found
STREAM,268435456,1.07,42,175.70,18.33,Table Not Found
STREAM,268435456,1.07,43,177.01,18.20,Table Not Found
STREAM,268435456,1.07,44,178.36,18.06,Table Not Found
STREAM,268435456,1.07,45,179.35,17.96,Table Not Found
STREAM,268435456,1.07,46,174.39,18.47,Table Not Found
STREAM,268435456,1.07,47,173.74,18.54,Table Not Found
STREAM,268435456,1.07,48,174.21,18.49,Table Not Found
STREAM,268435456,1.07,49,176.09,18.29,Table Not Found
STREAM,268435456,1.07,50,176.08,18.29,Table Not Found
STREAM,536870912,2.15,1,346.16,18.61,Table Not Found
STREAM,536870912,2.15,2,344.49,18.70,Table Not Found
STREAM,536870912,2.15,3,345.50,18.65,Table Not Found
STREAM,536870912,2.15,4,345.43,18.65,Table Not Found
STREAM,536870912,2.15,5,347.70,18.53,Table Not Found
STREAM,536870912,2.15,6,346.45,18.60,Table Not Found
STREAM,536870912,2.15,7,347.15,18.56,Table Not Found
STREAM,536870912,2.15,8,347.90,18.52,Table Not Found
STREAM,536870912,2.15,9,349.86,18.41,Table Not Found
STREAM,536870912,2.15,10,347.54,18.54,Table Not Found
STREAM,536870912,2.15,11,345.04,18.67,Table Not Found
STREAM,536870912,2.15,12,346.01,18.62,Table Not Found
STREAM,536870912,2.15,13,345.89,18.63,Table Not Found
STREAM,536870912,2.15,14,346.53,18.59,Table Not Found
STREAM,536870912,2.15,15,344.99,18.67,Table Not Found
STREAM,536870912,2.15,16,348.24,18.50,Table Not Found
STREAM,536870912,2.15,17,346.03,18.62,Table Not Found
STREAM,536870912,2.15,18,346.15,18.61,Table Not Found
STREAM,536870912,2.15,19,347.16,18.56,Table Not Found
STREAM,536870912,2.15,20,348.54,18.48,Table Not Found
STREAM,536870912,2.15,21,346.22,18.61,Table Not Found
STREAM,536870912,2.15,22,347.74,18.53,Table Not Found
STREAM,536870912,2.15,23,347.68,18.53,Table Not Found
STREAM,536870912,2.15,24,352.34,18.28,Table Not Found
