Run_ID,Time_ms
1,52822
2,53504
3,53573
4,53390
5,52866
6,52567
7,52460
8,52497
9,52858
10,52639
11,52578
12,52618
13,53269
14,53473
15,53434
16,53385
17,53013
18,53650
19,53103
20,53460
