run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta
45,2026-08-12T09:33:39Z,C0,bench_stencil,24000,kept_12,1.11,FADA940587C8B92B63A0FFF,0,kept
46,2026-08-12T09:33:41Z,C1,bench_stencil,24000,kept_12,4.29,FADA940587C8B92B63A0FFF,0,kept
47,2026-08-12T09:33:46Z,C2,bench_stencil,24000,kept_12,4.47,FADA940587C8B92B63A0FFF,0,kept
48,2026-08-12T09:33:51Z,C3,bench_stencil,24000,kept_12,4.44,FADA940587C8B92B63A0FFF,0,kept
49,2026-08-12T09:33:56Z,C0,bench_stencil,24000,kept_13,1.11,FADA940587C8B92B63A0FFF,0,kept
50,2026-08-12T09:33:57Z,C1,bench_stencil,24000,kept_13,4.29,FADA940587C8B92B63A0FFF,0,kept
51,2026-08-12T09:34:02Z,C2,bench_stencil,24000,kept_13,4.47,FADA940587C8B92B63A0FFF,0,kept
52,2026-08-12T09:34:07Z,C3,bench_stencil,24000,kept_13,4.45,FADA940587C8B92B63A0FFF,0,kept
53,2026-08-12T09:34:12Z,C0,bench_stencil,24000,kept_14,1.12,FADA940587C8B92B63A0FFF,0,kept
54,2026-08-12T09:34:14Z,C1,bench_stencil,24000,kept_14,4.31,FADA940587C8B92B63A0FFF,0,kept
55,2026-08-12T09:34:19Z,C2,bench_stencil,24000,kept_14,4.47,FADA940587C8B92B63A0FFF,0,kept
56,2026-08-12T09:34:24Z,C3,bench_stencil,24000,kept_14,4.46,FADA940587C8B92B63A0FFF,0,kept
57,2026-08-12T09:34:29Z,C0,bench_stencil,24000,kept_15,1.12,FADA940587C8B92B63A0FFF,0,kept
58,2026-08-12T09:34:30Z,C1,bench_stencil,24000,kept_15,4.32,FADA940587C8B92B63A0FFF,0,kept
59,2026-08-12T09:34:35Z,C2,bench_stencil,24000,kept_15,4.47,FADA940587C8B92B63A0FFF,0,kept
60,2026-08-12T09:34:40Z,C3,bench_stencil,24000,kept_15,4.49,FADA940587C8B92B63A0FFF,0,kept
61,2026-08-12T09:34:45Z,C0,bench_stencil,24000,kept_16,1.12,FADA940587C8B92B63A0FFF,0,kept
62,2026-08-12T09:34:47Z,C1,bench_stencil,24000,kept_16,4.31,FADA940587C8B92B63A0FFF,0,kept
63,2026-08-12T09:34:52Z,C2,bench_stencil,24000,kept_16,4.45,FADA940587C8B92B63A0FFF,0,kept
64,2026-08-12T09:34:57Z,C3,bench_stencil,24000,kept_16,4.47,FADA940587C8B92B63A0FFF,0,kept
65,2026-08-12T09:35:02Z,C0,bench_stencil,24000,kept_17,1.11,FADA940587C8B92B63A0FFF,0,kept
66,2026-08-12T09:35:03Z,C1,bench_stencil,24000,kept_17,4.29,FADA940587C8B92B63A0FFF,0,kept
67,2026-08-12T09:35:08Z,C2,bench_stencil,24000,kept_17,4.47,FADA940587C8B92B63A0FFF,0,kept
