policy,run,wall_s
0,1,53.66
0,2,53.90
0,3,53.86
0,4,53.90
1,1,54.69
1,2,54.81
1,3,54.76
1,4,54.10
2,1,53.85
2,2,53.83
2,3,53.74
2,4,53.74
3,1,53.77
3,2,53.82
3,3,53.80
3,4,53.86
4,1,53.82
4,2,53.78
4,3,53.92
4,4,53.87
