policy,run,wall_s
0,1,4.20
0,2,4.23
0,3,4.23
0,4,4.18
0,5,4.23
0,6,4.19
1,1,4.28
1,2,4.27
1,3,4.25
1,4,4.26
1,5,4.22
1,6,4.23
2,1,4.27
2,2,4.23
2,3,4.21
2,4,4.26
2,5,4.25
2,6,4.21
3,1,4.25
3,2,4.28
3,3,4.26
3,4,4.22
3,5,4.25
3,6,4.28
4,1,4.29
4,2,4.20
4,3,4.19
4,4,4.20
4,5,4.25
4,6,4.25
