cycle,policy,time_ms
1,0,346.66
1,1,353.31
1,5,361.97
2,0,351.94
2,1,353.85
2,5,354.09
3,0,351.07
3,1,359.31
3,5,360.87
4,0,347.95
4,1,352.04
4,5,361.97
5,0,348.29
5,1,356.15
5,5,359.49
6,0,354.52
6,1,350.33
6,5,364.29
7,0,344.49
7,1,355.39
7,5,357.42
8,0,349.42
8,1,355.32
8,5,354.05
9,0,345.25
9,1,357.21
9,5,364.71
10,0,349.38
10,1,353.61
10,5,358.66
11,0,350.49
11,1,354.72
11,5,359.37
12,0,346.70
12,1,357.02
12,5,357.51
13,0,347.04
13,1,354.53
13,5,353.13
14,0,346.02
14,1,355.08
14,5,355.58
15,0,346.02
15,1,353.19
15,5,355.87
16,0,348.23
16,1,367.94
16,5,352.58
17,0,342.82
17,1,356.73
17,5,356.95
18,0,348.68
18,1,352.90
18,5,352.89
19,0,348.02
19,1,362.64
19,5,371.17
20,0,347.14
20,1,365.86
20,5,352.88
21,0,346.40
21,1,360.85
21,5,354.29
22,0,346.12
22,1,357.45
22,5,353.15
23,0,345.05
23,1,356.92
23,5,350.98
24,0,349.73
24,1,356.26
24,5,352.88
25,0,344.69
25,1,361.82
25,5,349.06
26,0,345.95
26,1,364.56
26,5,355.82
27,0,359.66
27,1,356.27
27,5,360.67
28,0,349.25
28,1,354.02
28,5,353.63
29,0,348.33
29,1,361.05
29,5,353.10
30,0,350.78
30,1,355.19
30,5,355.92
31,0,350.78
31,1,354.43
31,5,354.72
32,0,343.28
32,1,351.27
32,5,357.63
33,0,345.72
33,1,354.06
33,5,353.58
34,0,348.82
34,1,350.98
34,5,357.43
35,0,363.56
35,1,352.82
35,5,352.79
36,0,345.47
36,1,361.55
36,5,349.56
37,0,367.47
37,1,351.00
37,5,351.40
38,0,350.01
38,1,353.88
38,5,353.67
39,0,345.94
39,1,354.95
39,5,352.96
40,0,344.05
40,1,353.35
40,5,355.52
