run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,hit_rate,enqueues,hits
37,2026-08-10T18:35:45Z,C0,bench_cufft,67108864,warmup_2,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
38,2026-08-10T18:35:46Z,C1,bench_cufft,67108864,warmup_2,2.54,8A2651D1CB32C7B239FB511,0,0.00000,0,0
39,2026-08-10T18:35:49Z,C0,bench_cufft,67108864,kept_3,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
40,2026-08-10T18:35:51Z,C1,bench_cufft,67108864,kept_3,2.54,8A2651D1CB32C7B239FB511,0,0.00000,0,0
41,2026-08-10T18:35:54Z,C0,bench_cufft,67108864,kept_4,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
42,2026-08-10T18:35:55Z,C1,bench_cufft,67108864,kept_4,2.57,8A2651D1CB32C7B239FB511,0,0.00000,0,0
43,2026-08-10T18:35:58Z,C0,bench_cufft,67108864,kept_5,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
44,2026-08-10T18:36:00Z,C1,bench_cufft,67108864,kept_5,2.53,8A2651D1CB32C7B239FB511,0,0.00000,0,0
45,2026-08-10T18:36:03Z,C0,bench_cufft,67108864,kept_6,0.68,8A2651D1CB32C7B239FB511,0,0.00000,0,0
46,2026-08-10T18:36:04Z,C1,bench_cufft,67108864,kept_6,2.54,8A2651D1CB32C7B239FB511,0,0.00000,0,0
47,2026-08-10T18:36:07Z,C0,bench_cufft,67108864,kept_7,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
48,2026-08-10T18:36:08Z,C1,bench_cufft,67108864,kept_7,2.57,8A2651D1CB32C7B239FB511,0,0.00000,0,0
49,2026-08-10T18:36:11Z,C0,bench_cufft,67108864,kept_8,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
50,2026-08-10T18:36:13Z,C1,bench_cufft,67108864,kept_8,2.59,8A2651D1CB32C7B239FB511,0,0.00000,0,0
51,2026-08-10T18:36:16Z,C0,bench_cufft,67108864,kept_9,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
52,2026-08-10T18:36:17Z,C1,bench_cufft,67108864,kept_9,2.55,8A2651D1CB32C7B239FB511,0,0.00000,0,0
53,2026-08-10T18:36:20Z,C0,bench_cufft,67108864,kept_10,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
54,2026-08-10T18:36:22Z,C1,bench_cufft,67108864,kept_10,2.55,8A2651D1CB32C7B239FB511,0,0.00000,0,0
55,2026-08-10T18:36:25Z,C0,bench_cufft,67108864,kept_11,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
56,2026-08-10T18:36:26Z,C1,bench_cufft,67108864,kept_11,2.53,8A2651D1CB32C7B239FB511,0,0.00000,0,0
57,2026-08-10T18:36:29Z,C0,bench_cufft,67108864,kept_12,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
58,2026-08-10T18:36:30Z,C1,bench_cufft,67108864,kept_12,2.56,8A2651D1CB32C7B239FB511,0,0.00000,0,0
59,2026-08-10T18:36:34Z,C0,bench_cufft,67108864,kept_13,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
60,2026-08-10T18:36:35Z,C1,bench_cufft,67108864,kept_13,2.53,8A2651D1CB32C7B239FB511,0,0.00000,0,0
61,2026-08-10T18:36:38Z,C0,bench_cufft,67108864,kept_14,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
62,2026-08-10T18:36:39Z,C1,bench_cufft,67108864,kept_14,2.57,8A2651D1CB32C7B239FB511,0,0.00000,0,0
63,2026-08-10T18:36:42Z,C0,bench_cufft,67108864,kept_15,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
64,2026-08-10T18:36:44Z,C1,bench_cufft,67108864,kept_15,2.57,8A2651D1CB32C7B239FB511,0,0.00000,0,0
65,2026-08-10T18:36:47Z,C0,bench_cufft,67108864,kept_16,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
66,2026-08-10T18:36:48Z,C1,bench_cufft,67108864,kept_16,2.53,8A2651D1CB32C7B239FB511,0,0.00000,0,0
67,2026-08-10T18:36:51Z,C0,bench_cufft,67108864,kept_17,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
68,2026-08-10T18:36:53Z,C1,bench_cufft,67108864,kept_17,2.58,8A2651D1CB32C7B239FB511,0,0.00000,0,0
69,2026-08-10T18:36:56Z,p0_prefetchON,bench_cufft,134217728,warmup_1,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
70,2026-08-10T18:36:57Z,p2_prefetchON,bench_cufft,134217728,warmup_1,1.08,8A2651D1CB32C7B239FB511,0,0.03083,11611,358
71,2026-08-10T18:36:59Z,p0_prefetchON,bench_cufft,134217728,warmup_2,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
72,2026-08-10T18:37:01Z,p2_prefetchON,bench_cufft,134217728,warmup_2,1.08,8A2651D1CB32C7B239FB511,0,0.02875,11932,343
73,2026-08-10T18:37:02Z,p0_prefetchON,bench_cufft,134217728,kept_3,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
74,2026-08-10T18:37:04Z,p2_prefetchON,bench_cufft,134217728,kept_3,1.09,8A2651D1CB32C7B239FB511,0,0.02569,12574,323
75,2026-08-10T18:37:06Z,p0_prefetchON,bench_cufft,134217728,kept_4,1.08,8A2651D1CB32C7B239FB511,0,0.00000,0,0
76,2026-08-10T18:37:07Z,p2_prefetchON,bench_cufft,134217728,kept_4,1.07,8A2651D1CB32C7B239FB511,0,0.02452,11867,291
77,2026-08-10T18:37:09Z,p0_prefetchON,bench_cufft,134217728,kept_5,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
78,2026-08-10T18:37:11Z,p2_prefetchON,bench_cufft,134217728,kept_5,1.07,8A2651D1CB32C7B239FB511,0,0.02413,12973,313
79,2026-08-10T18:37:12Z,p0_prefetchON,bench_cufft,134217728,kept_6,1.08,8A2651D1CB32C7B239FB511,0,0.00000,0,0
80,2026-08-10T18:37:14Z,p2_prefetchON,bench_cufft,134217728,kept_6,1.08,8A2651D1CB32C7B239FB511,0,0.02554,11866,303
81,2026-08-10T18:37:16Z,p0_prefetchON,bench_cufft,134217728,kept_7,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
82,2026-08-10T18:37:17Z,p2_prefetchON,bench_cufft,134217728,kept_7,1.08,8A2651D1CB32C7B239FB511,0,0.02296,11453,263
83,2026-08-10T18:37:19Z,p0_prefetchON,bench_cufft,134217728,kept_8,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
84,2026-08-10T18:37:21Z,p2_prefetchON,bench_cufft,134217728,kept_8,1.07,8A2651D1CB32C7B239FB511,0,0.02805,11944,335
85,2026-08-10T18:37:22Z,p0_prefetchON,bench_cufft,134217728,kept_9,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
86,2026-08-10T18:37:24Z,p2_prefetchON,bench_cufft,134217728,kept_9,1.08,8A2651D1CB32C7B239FB511,0,0.02555,12096,309
87,2026-08-10T18:37:25Z,p0_prefetchON,bench_cufft,134217728,kept_10,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
88,2026-08-10T18:37:27Z,p2_prefetchON,bench_cufft,134217728,kept_10,1.08,8A2651D1CB32C7B239FB511,0,0.02543,12113,308
89,2026-08-10T18:37:29Z,p0_prefetchON,bench_cufft,134217728,kept_11,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
90,2026-08-10T18:37:30Z,p2_prefetchON,bench_cufft,134217728,kept_11,1.08,8A2651D1CB32C7B239FB511,0,0.02720,11545,314
91,2026-08-10T18:37:32Z,p0_prefetchON,bench_cufft,134217728,kept_12,1.06,8A2651D1CB32C7B239FB511,0,0.00000,0,0
92,2026-08-10T18:37:34Z,p2_prefetchON,bench_cufft,134217728,kept_12,1.07,8A2651D1CB32C7B239FB511,0,0.02479,12061,299
93,2026-08-10T18:37:35Z,p0_prefetchON,bench_cufft,134217728,kept_13,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
94,2026-08-10T18:37:37Z,p2_prefetchON,bench_cufft,134217728,kept_13,1.07,8A2651D1CB32C7B239FB511,0,0.02593,12150,315
95,2026-08-10T18:37:39Z,p0_prefetchON,bench_cufft,134217728,kept_14,1.08,8A2651D1CB32C7B239FB511,0,0.00000,0,0
96,2026-08-10T18:37:40Z,p2_prefetchON,bench_cufft,134217728,kept_14,1.08,8A2651D1CB32C7B239FB511,0,0.02549,12514,319
97,2026-08-10T18:37:42Z,p0_prefetchON,bench_cufft,134217728,kept_15,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
98,2026-08-10T18:37:44Z,p2_prefetchON,bench_cufft,134217728,kept_15,1.09,8A2651D1CB32C7B239FB511,0,0.02716,12150,330
99,2026-08-10T18:37:45Z,p0_prefetchON,bench_cufft,134217728,kept_16,1.08,8A2651D1CB32C7B239FB511,0,0.00000,0,0
100,2026-08-10T18:37:47Z,p2_prefetchON,bench_cufft,134217728,kept_16,1.08,8A2651D1CB32C7B239FB511,0,0.02720,11766,320
101,2026-08-10T18:37:49Z,p0_prefetchON,bench_cufft,134217728,kept_17,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
102,2026-08-10T18:37:50Z,p2_prefetchON,bench_cufft,134217728,kept_17,1.08,8A2651D1CB32C7B239FB511,0,0.02841,11158,317
103,2026-08-10T18:37:52Z,C0,bench_cufft,134217728,warmup_1,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
104,2026-08-10T18:37:54Z,C1,bench_cufft,134217728,warmup_1,4.90,8A2651D1CB32C7B239FB511,0,0.00000,0,0
105,2026-08-10T18:37:59Z,C0,bench_cufft,134217728,warmup_2,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
106,2026-08-10T18:38:01Z,C1,bench_cufft,134217728,warmup_2,4.80,8A2651D1CB32C7B239FB511,0,0.00000,0,0
107,2026-08-10T18:38:06Z,C0,bench_cufft,134217728,kept_3,1.06,8A2651D1CB32C7B239FB511,0,0.00000,0,0
108,2026-08-10T18:38:08Z,C1,bench_cufft,134217728,kept_3,4.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
109,2026-08-10T18:38:13Z,C0,bench_cufft,134217728,kept_4,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
110,2026-08-10T18:38:15Z,C1,bench_cufft,134217728,kept_4,4.79,8A2651D1CB32C7B239FB511,0,0.00000,0,0
111,2026-08-10T18:38:20Z,C0,bench_cufft,134217728,kept_5,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
112,2026-08-10T18:38:22Z,C1,bench_cufft,134217728,kept_5,4.79,8A2651D1CB32C7B239FB511,0,0.00000,0,0
113,2026-08-10T18:38:27Z,C0,bench_cufft,134217728,kept_6,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
114,2026-08-10T18:38:29Z,C1,bench_cufft,134217728,kept_6,4.82,8A2651D1CB32C7B239FB511,0,0.00000,0,0
115,2026-08-10T18:38:34Z,C0,bench_cufft,134217728,kept_7,1.06,8A2651D1CB32C7B239FB511,0,0.00000,0,0
116,2026-08-10T18:38:36Z,C1,bench_cufft,134217728,kept_7,4.88,8A2651D1CB32C7B239FB511,0,0.00000,0,0
117,2026-08-10T18:38:41Z,C0,bench_cufft,134217728,kept_8,1.10,8A2651D1CB32C7B239FB511,0,0.00000,0,0
118,2026-08-10T18:38:43Z,C1,bench_cufft,134217728,kept_8,4.87,8A2651D1CB32C7B239FB511,0,0.00000,0,0
119,2026-08-10T18:38:49Z,C0,bench_cufft,134217728,kept_9,1.09,8A2651D1CB32C7B239FB511,0,0.00000,0,0
120,2026-08-10T18:38:50Z,C1,bench_cufft,134217728,kept_9,4.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
121,2026-08-10T18:38:56Z,C0,bench_cufft,134217728,kept_10,1.09,8A2651D1CB32C7B239FB511,0,0.00000,0,0
122,2026-08-10T18:38:57Z,C1,bench_cufft,134217728,kept_10,4.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
123,2026-08-10T18:39:03Z,C0,bench_cufft,134217728,kept_11,1.08,8A2651D1CB32C7B239FB511,0,0.00000,0,0
124,2026-08-10T18:39:04Z,C1,bench_cufft,134217728,kept_11,4.80,8A2651D1CB32C7B239FB511,0,0.00000,0,0
125,2026-08-10T18:39:10Z,C0,bench_cufft,134217728,kept_12,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
126,2026-08-10T18:39:12Z,C1,bench_cufft,134217728,kept_12,4.99,8A2651D1CB32C7B239FB511,0,0.00000,0,0
127,2026-08-10T18:39:17Z,C0,bench_cufft,134217728,kept_13,1.09,8A2651D1CB32C7B239FB511,0,0.00000,0,0
128,2026-08-10T18:39:19Z,C1,bench_cufft,134217728,kept_13,4.95,8A2651D1CB32C7B239FB511,0,0.00000,0,0
129,2026-08-10T18:39:24Z,C0,bench_cufft,134217728,kept_14,1.08,8A2651D1CB32C7B239FB511,0,0.00000,0,0
130,2026-08-10T18:39:26Z,C1,bench_cufft,134217728,kept_14,4.90,8A2651D1CB32C7B239FB511,0,0.00000,0,0
131,2026-08-10T18:39:31Z,C0,bench_cufft,134217728,kept_15,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
132,2026-08-10T18:39:33Z,C1,bench_cufft,134217728,kept_15,4.82,8A2651D1CB32C7B239FB511,0,0.00000,0,0
133,2026-08-10T18:39:39Z,C0,bench_cufft,134217728,kept_16,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
134,2026-08-10T18:39:40Z,C1,bench_cufft,134217728,kept_16,4.90,8A2651D1CB32C7B239FB511,0,0.00000,0,0
135,2026-08-10T18:39:46Z,C0,bench_cufft,134217728,kept_17,1.07,8A2651D1CB32C7B239FB511,0,0.00000,0,0
136,2026-08-10T18:39:47Z,C1,bench_cufft,134217728,kept_17,4.85,8A2651D1CB32C7B239FB511,0,0.00000,0,0
137,2026-08-10T18:39:53Z,p0_prefetchON,bench_cufft,268435456,warmup_1,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
138,2026-08-10T18:39:55Z,p2_prefetchON,bench_cufft,268435456,warmup_1,1.85,8A2651D1CB32C7B239FB511,0,0.01839,22134,407
139,2026-08-10T18:39:58Z,p0_prefetchON,bench_cufft,268435456,warmup_2,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
140,2026-08-10T18:40:00Z,p2_prefetchON,bench_cufft,268435456,warmup_2,1.84,8A2651D1CB32C7B239FB511,0,0.01769,21768,385
141,2026-08-10T18:40:03Z,p0_prefetchON,bench_cufft,268435456,kept_3,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
142,2026-08-10T18:40:05Z,p2_prefetchON,bench_cufft,268435456,kept_3,1.84,8A2651D1CB32C7B239FB511,0,0.01928,23654,456
143,2026-08-10T18:40:07Z,p0_prefetchON,bench_cufft,268435456,kept_4,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
144,2026-08-10T18:40:10Z,p2_prefetchON,bench_cufft,268435456,kept_4,1.84,8A2651D1CB32C7B239FB511,0,0.01677,22963,385
145,2026-08-10T18:40:12Z,p0_prefetchON,bench_cufft,268435456,kept_5,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
146,2026-08-10T18:40:15Z,p2_prefetchON,bench_cufft,268435456,kept_5,1.84,8A2651D1CB32C7B239FB511,0,0.01512,22753,344
147,2026-08-10T18:40:17Z,p0_prefetchON,bench_cufft,268435456,kept_6,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
148,2026-08-10T18:40:20Z,p2_prefetchON,bench_cufft,268435456,kept_6,1.96,8A2651D1CB32C7B239FB511,0,0.01807,23793,430
149,2026-08-10T18:40:22Z,p0_prefetchON,bench_cufft,268435456,kept_7,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
150,2026-08-10T18:40:25Z,p2_prefetchON,bench_cufft,268435456,kept_7,1.83,8A2651D1CB32C7B239FB511,0,0.01785,21906,391
151,2026-08-10T18:40:27Z,p0_prefetchON,bench_cufft,268435456,kept_8,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
152,2026-08-10T18:40:29Z,p2_prefetchON,bench_cufft,268435456,kept_8,1.84,8A2651D1CB32C7B239FB511,0,0.01896,22201,421
153,2026-08-10T18:40:32Z,p0_prefetchON,bench_cufft,268435456,kept_9,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
154,2026-08-10T18:40:34Z,p2_prefetchON,bench_cufft,268435456,kept_9,1.85,8A2651D1CB32C7B239FB511,0,0.01690,22247,376
155,2026-08-10T18:40:37Z,p0_prefetchON,bench_cufft,268435456,kept_10,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
156,2026-08-10T18:40:39Z,p2_prefetchON,bench_cufft,268435456,kept_10,1.84,8A2651D1CB32C7B239FB511,0,0.01582,23319,369
157,2026-08-10T18:40:42Z,p0_prefetchON,bench_cufft,268435456,kept_11,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
158,2026-08-10T18:40:44Z,p2_prefetchON,bench_cufft,268435456,kept_11,1.84,8A2651D1CB32C7B239FB511,0,0.01484,24521,364
159,2026-08-10T18:40:46Z,p0_prefetchON,bench_cufft,268435456,kept_12,1.85,8A2651D1CB32C7B239FB511,0,0.00000,0,0
160,2026-08-10T18:40:49Z,p2_prefetchON,bench_cufft,268435456,kept_12,1.83,8A2651D1CB32C7B239FB511,0,0.01541,24145,372
161,2026-08-10T18:40:51Z,p0_prefetchON,bench_cufft,268435456,kept_13,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
162,2026-08-10T18:40:54Z,p2_prefetchON,bench_cufft,268435456,kept_13,1.84,8A2651D1CB32C7B239FB511,0,0.01861,23433,436
163,2026-08-10T18:40:56Z,p0_prefetchON,bench_cufft,268435456,kept_14,1.85,8A2651D1CB32C7B239FB511,0,0.00000,0,0
164,2026-08-10T18:40:59Z,p2_prefetchON,bench_cufft,268435456,kept_14,1.83,8A2651D1CB32C7B239FB511,0,0.02046,20964,429
165,2026-08-10T18:41:01Z,p0_prefetchON,bench_cufft,268435456,kept_15,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
166,2026-08-10T18:41:03Z,p2_prefetchON,bench_cufft,268435456,kept_15,1.84,8A2651D1CB32C7B239FB511,0,0.01400,23786,333
167,2026-08-10T18:41:06Z,p0_prefetchON,bench_cufft,268435456,kept_16,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
168,2026-08-10T18:41:08Z,p2_prefetchON,bench_cufft,268435456,kept_16,1.84,8A2651D1CB32C7B239FB511,0,0.01717,23237,399
169,2026-08-10T18:41:11Z,p0_prefetchON,bench_cufft,268435456,kept_17,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
170,2026-08-10T18:41:13Z,p2_prefetchON,bench_cufft,268435456,kept_17,1.84,8A2651D1CB32C7B239FB511,0,0.01685,23028,388
171,2026-08-10T18:41:15Z,C0,bench_cufft,268435456,warmup_1,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
172,2026-08-10T18:41:18Z,C1,bench_cufft,268435456,warmup_1,9.35,8A2651D1CB32C7B239FB511,0,0.00000,0,0
173,2026-08-10T18:41:28Z,C0,bench_cufft,268435456,warmup_2,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
174,2026-08-10T18:41:30Z,C1,bench_cufft,268435456,warmup_2,9.40,8A2651D1CB32C7B239FB511,0,0.00000,0,0
175,2026-08-10T18:41:40Z,C0,bench_cufft,268435456,kept_3,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
176,2026-08-10T18:41:43Z,C1,bench_cufft,268435456,kept_3,9.46,8A2651D1CB32C7B239FB511,0,0.00000,0,0
177,2026-08-10T18:41:53Z,C0,bench_cufft,268435456,kept_4,1.85,8A2651D1CB32C7B239FB511,0,0.00000,0,0
178,2026-08-10T18:41:55Z,C1,bench_cufft,268435456,kept_4,9.50,8A2651D1CB32C7B239FB511,0,0.00000,0,0
179,2026-08-10T18:42:05Z,C0,bench_cufft,268435456,kept_5,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
180,2026-08-10T18:42:08Z,C1,bench_cufft,268435456,kept_5,9.41,8A2651D1CB32C7B239FB511,0,0.00000,0,0
181,2026-08-10T18:42:18Z,C0,bench_cufft,268435456,kept_6,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
182,2026-08-10T18:42:20Z,C1,bench_cufft,268435456,kept_6,9.41,8A2651D1CB32C7B239FB511,0,0.00000,0,0
183,2026-08-10T18:42:30Z,C0,bench_cufft,268435456,kept_7,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
184,2026-08-10T18:42:33Z,C1,bench_cufft,268435456,kept_7,9.52,8A2651D1CB32C7B239FB511,0,0.00000,0,0
185,2026-08-10T18:42:43Z,C0,bench_cufft,268435456,kept_8,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
186,2026-08-10T18:42:45Z,C1,bench_cufft,268435456,kept_8,9.40,8A2651D1CB32C7B239FB511,0,0.00000,0,0
187,2026-08-10T18:42:55Z,C0,bench_cufft,268435456,kept_9,1.86,8A2651D1CB32C7B239FB511,0,0.00000,0,0
188,2026-08-10T18:42:58Z,C1,bench_cufft,268435456,kept_9,9.54,8A2651D1CB32C7B239FB511,0,0.00000,0,0
189,2026-08-10T18:43:08Z,C0,bench_cufft,268435456,kept_10,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
190,2026-08-10T18:43:10Z,C1,bench_cufft,268435456,kept_10,9.39,8A2651D1CB32C7B239FB511,0,0.00000,0,0
191,2026-08-10T18:43:20Z,C0,bench_cufft,268435456,kept_11,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
192,2026-08-10T18:43:23Z,C1,bench_cufft,268435456,kept_11,9.41,8A2651D1CB32C7B239FB511,0,0.00000,0,0
193,2026-08-10T18:43:33Z,C0,bench_cufft,268435456,kept_12,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
