run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,hit_rate,enqueues,hits
194,2026-08-10T18:43:35Z,C1,bench_cufft,268435456,kept_12,9.49,8A2651D1CB32C7B239FB511,0,0.00000,0,0
195,2026-08-10T18:43:45Z,C0,bench_cufft,268435456,kept_13,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
196,2026-08-10T18:43:48Z,C1,bench_cufft,268435456,kept_13,9.54,8A2651D1CB32C7B239FB511,0,0.00000,0,0
197,2026-08-10T18:43:58Z,C0,bench_cufft,268435456,kept_14,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
198,2026-08-10T18:44:00Z,C1,bench_cufft,268435456,kept_14,9.44,8A2651D1CB32C7B239FB511,0,0.00000,0,0
199,2026-08-10T18:44:10Z,C0,bench_cufft,268435456,kept_15,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
200,2026-08-10T18:44:13Z,C1,bench_cufft,268435456,kept_15,9.33,8A2651D1CB32C7B239FB511,0,0.00000,0,0
201,2026-08-10T18:44:23Z,C0,bench_cufft,268435456,kept_16,1.84,8A2651D1CB32C7B239FB511,0,0.00000,0,0
202,2026-08-10T18:44:25Z,C1,bench_cufft,268435456,kept_16,9.38,8A2651D1CB32C7B239FB511,0,0.00000,0,0
203,2026-08-10T18:44:35Z,C0,bench_cufft,268435456,kept_17,1.83,8A2651D1CB32C7B239FB511,0,0.00000,0,0
204,2026-08-10T18:44:38Z,C1,bench_cufft,268435456,kept_17,9.42,8A2651D1CB32C7B239FB511,0,0.00000,0,0
