Run_ID,Time_ms
1,4140
2,4127
3,4136
4,4115
5,4103
6,4132
7,4145
8,4149
9,4129
10,4102
11,4096
12,4093
13,4119
14,4118
15,4121
16,4117
17,4085
18,4070
19,4052
20,4090
