label,condition,cycle,phase,MemFree_kB,MemAvailable_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,KernelStack_kB,VmallocUsed_kB,PageTables_kB,Committed_AS_kB,dmesg_delta
nvidia-uvm,reload_cufft,1,after,52054312,55095140,465756,190156,275600,21216,176140,41108,8236664,2
nvidia-uvm,reload_cufft,2,before,52050676,55091512,465756,190156,275600,21200,176156,41064,8236664,0
nvidia-uvm,reload_cufft,2,after,51719904,54760744,466148,190156,275992,21232,176204,41296,8275820,2
nvidia-uvm,reload_cufft,3,before,51719644,54760484,466148,190156,275992,21232,176204,41752,8275820,0
nvidia-uvm,reload_cufft,3,after,51472356,54513196,465864,190156,275708,21232,176140,41404,8275804,2
nvidia-uvm,reload_cufft,4,before,51463216,54504056,465864,190156,275708,21232,176172,41820,8275804,0
nvidia-uvm,reload_cufft,4,after,51216324,54257168,465988,190156,275832,21232,176172,41404,8275804,2
nvidia-uvm,reload_cufft,5,before,51214304,54255148,465988,190156,275832,21200,176220,42100,8275804,0
nvidia-uvm,reload_cufft,5,after,50970380,54011232,465972,190156,275816,21232,176204,41368,8275804,2
nvidia-uvm-stock,reload_cufft,1,before,53483000,54153324,340576,74488,266088,20976,176060,41460,8276736,0
nvidia-uvm-stock,reload_cufft,1,after,53148980,53894000,341236,74488,266748,21072,137032,41420,8281228,0
nvidia-uvm-stock,reload_cufft,2,before,53145748,53890768,341236,74488,266748,21072,137032,41416,8281228,0
nvidia-uvm-stock,reload_cufft,2,after,52883048,53628348,341616,74488,267128,21088,137128,41308,8281228,0
nvidia-uvm-stock,reload_cufft,3,before,52874160,53619460,341616,74488,267128,21088,137176,41712,8281228,0
nvidia-uvm-stock,reload_cufft,3,after,52627840,53373188,341640,74488,267152,21104,137096,41468,8281648,0
nvidia-uvm-stock,reload_cufft,4,before,52622992,53368340,341640,74488,267152,21088,137112,41812,8281648,0
nvidia-uvm-stock,reload_cufft,4,after,52375988,53118440,341696,74488,267208,21104,137032,41420,8270056,0
nvidia-uvm-stock,reload_cufft,5,before,52374368,53116820,341696,74488,267208,21104,137080,41896,8270056,0
nvidia-uvm-stock,reload_cufft,5,after,52129780,52873768,341428,74488,266940,21072,137112,41320,8270056,0
