iters,n_per_arm,c0_median_s,c1_median_s,c3_median_s,pct_c3_vs_c0,mwu_p_c3_vs_c0,holm_threshold,holm_significant,cohens_d_c3_vs_c0,mwu_p_c3_vs_c1,mwu_p_c1_vs_c0
1,5,3.31,17.29,18.12,447.43202416918433,0.007936507936507936,0.01,YES,28.176337954706415,0.05555555555555555,0.007936507936507936
3,5,6.02,34.38,26.33,337.375415282392,0.0119252335930176,0.025,YES,45.84505653146333,0.0119252335930176,0.007936507936507936
5,5,8.58,48.99,32.41,277.7389277389277,0.007936507936507936,0.0125,YES,18.99445483822694,0.007936507936507936,0.007936507936507936
10,5,15.73,88.76,52.04,230.83280356007631,0.007936507936507936,0.016666666666666666,YES,182.0499999999998,0.007936507936507936,0.007936507936507936
20,5,27.18,159.67,75.14,176.4532744665195,0.0119252335930176,0.05,YES,43.73975810349895,0.007936507936507936,0.0119252335930176
