workload,L,comparison,baseline,n_base,n_c7,median_base,median_c7,delta_s,delta_pct,U,p,mwu_method,cohen_d,mde_s,mde_bonf_s,noout_n_base,noout_n_c7,noout_delta_s,noout_p,holm_threshold,holm_sig,noout_holm_threshold,noout_holm_sig,verdict,falsification_trigger
stencil,1,C7-L1 vs C0,C0,10,10,1.1394555,1.1837485,0.04429300000000014,3.8872075302633706,100.0,1.082508822446903e-05,exact,4.15166370514196,0.013082952721497641,0.016699299897218304,10,9,0.04458450000000003,2.165017644893806e-05,0.00625,True,0.01,True,C7 slower,False
stencil,16,C7-L16 vs C0,C0,10,10,1.1394555,1.189408,0.049952500000000066,4.383892130934474,100.0,1.082508822446903e-05,exact,6.725845800863844,0.01014881582334842,0.012954118435148572,10,10,0.049952500000000066,1.082508822446903e-05,0.0071428571428571435,True,0.00625,True,C7 slower,False
stencil,256,C7-L256 vs C0,C0,10,10,1.1394555,1.2350395,0.09558400000000011,8.3885680485109,100.0,1.082508822446903e-05,exact,8.45820101064781,0.013602811945958011,0.017362856915148526,10,10,0.09558400000000011,1.082508822446903e-05,0.008333333333333333,True,0.0071428571428571435,True,C7 slower,False
stencil,4096,C7-L4096 vs C0,C0,10,10,1.1394555,1.2320535000000001,0.09259800000000018,8.126513058210714,100.0,1.082508822446903e-05,exact,9.730291747510382,0.012141591486834807,0.015497730656398574,10,10,0.09259800000000018,1.082508822446903e-05,0.01,True,0.008333333333333333,True,C7 slower,False
graphbfs,1,C7-L1 vs C0,C0,10,10,31.547493000000003,31.522440500000002,-0.025052500000001032,-0.07941201540167084,47.0,0.8534283054406895,exact,-0.1093904831467914,0.18125321717062465,0.2313546410585372,10,10,-0.025052500000001032,0.8534283054406895,0.05,False,0.05,False,no significant difference,False
graphbfs,16,C7-L16 vs C0,C0,10,10,31.547493000000003,31.5044545,-0.043038500000001534,-0.13642446960841398,36.0,0.31499924224382436,exact,-0.5547390178292084,0.15691086534317575,0.20028365563013187,10,9,-0.047086000000003736,0.2110242698477993,0.0125,False,0.0125,False,no significant difference,False
graphbfs,256,C7-L256 vs C0,C0,10,10,31.547493000000003,31.5891925,0.04169949999999645,0.13218007529154993,55.0,0.7393643508194593,exact,0.04302437620992297,0.1553452356984933,0.19828525973884603,10,10,0.04169949999999645,0.7393643508194593,0.016666666666666666,False,0.016666666666666666,False,no significant difference,False
graphbfs,4096,C7-L4096 vs C0,C0,10,10,31.547493000000003,31.6445555,0.09706249999999628,0.307671040611678,46.0,0.7959362618805345,exact,-0.0445735442427171,0.16512770086750994,0.21077176206511913,10,10,0.09706249999999628,0.7959362618805345,0.025,False,0.025,False,no significant difference,False
