idx,ts_utc,workload,arm,L,wall_s,bench_result_ms,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,decomp_records,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident
31,2026-09-25T18:30:50Z,graphbfs,C7,256,31.569496,175.75,0,5997D238EF080B77DBD2AAF,61301316,61044012,39.8,0,,44543,1836,1836,0,393,1505,1836,286101,42707,0,0,405
32,2026-09-25T18:30:53Z,stencil,C7,256,1.229048,482.09,0,5997D238EF080B77DBD2AAF,61283556,61033896,39.8,0,,347337,342125,342125,0,23518,252444,342125,782383,5212,0,0,31202
33,2026-09-25T18:30:56Z,stencil,C7,16,1.195622,443.89,0,5997D238EF080B77DBD2AAF,61259388,61022188,39.8,0,,341890,78940,78940,0,10881,52997,78940,1045464,262950,0,0,11562
34,2026-09-25T18:31:29Z,graphbfs,C7,16,31.508502,175.32,0,5997D238EF080B77DBD2AAF,61303764,61061160,39.8,0,,43760,1213,1213,0,369,1031,1213,286727,42547,0,0,361
35,2026-09-25T18:31:31Z,stencil,C7,4096,1.242933,482.70,0,5997D238EF080B77DBD2AAF,61266544,61079060,39.8,0,,349929,349929,349929,0,23710,258266,349929,774539,0,0,0,31413
36,2026-09-25T18:32:04Z,graphbfs,C0,,31.418835,166.56,0,5997D238EF080B77DBD2AAF,61384732,61019760,39.8,0,,44394,0,0,0,0,0,0,0,0,0,0,0
37,2026-09-25T18:32:07Z,stencil,C7,1,1.190810,435.03,0,5997D238EF080B77DBD2AAF,61238736,61141360,39.8,0,,343981,19752,19752,0,7674,16326,19752,1104651,324229,0,0,7616
38,2026-09-25T18:32:40Z,graphbfs,C7,1,31.513539,174.91,0,5997D238EF080B77DBD2AAF,61417652,61037220,39.8,0,,44889,755,755,0,373,606,755,287175,44134,0,0,361
39,2026-09-25T18:33:13Z,graphbfs,C7,4096,31.701116,176.40,0,5997D238EF080B77DBD2AAF,61265280,61020644,39.8,0,,43495,6048,6048,0,462,5712,6048,281908,36366,0,1081,602
40,2026-09-25T18:33:15Z,stencil,C0,,1.144182,377.01,0,5997D238EF080B77DBD2AAF,61306944,61159132,39.8,0,,351346,0,0,0,0,0,0,0,0,0,0,0
41,2026-09-25T18:33:48Z,graphbfs,C7,256,31.775475,176.62,0,5997D238EF080B77DBD2AAF,61402672,60984780,39.8,0,,43882,1778,1778,0,347,1516,1778,286154,42104,0,0,363
42,2026-09-25T18:33:51Z,stencil,C7,4096,1.215293,465.63,0,5997D238EF080B77DBD2AAF,61238752,60993744,39.8,0,,326318,326318,326318,0,21968,237939,326318,798213,0,0,0,28669
