batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
31511384,28081651675985,28081651682360,28081652061392,28081652061392,28081652061843,1,1,0,0,5467,385858,6375,379032,0
31511385,28081652084044,28081652086983,28081652235201,28081652235201,28081652235375,1,1,0,0,2694,151331,2939,148218,0
31511386,28081652279458,28081652281782,28081652366171,28081652366171,28081652366344,1,1,0,0,2036,86886,2324,84389,0
31511387,28081652605797,28081652608027,28081652666663,28081652666663,28081652666831,1,1,0,0,1982,61034,2230,58636,0
31511388,28081652784562,28081652786796,28081652856498,28081652856498,28081652856680,1,1,0,0,1913,72118,2234,69702,0
31511389,28081653047068,28081653049287,28081653115286,28081653115286,28081653115459,1,1,0,0,1889,68391,2219,65999,0
31511390,28081653304821,28081653307042,28081653370235,28081653370235,28081653370401,1,1,0,0,1958,65580,2221,63193,0
31511391,28081653559970,28081653562181,28081653608142,28081653608142,28081653608239,1,1,0,0,1908,48269,2211,45961,0
31511392,28081653717798,28081653719928,28081653817628,28081653817628,28081653817798,2,1,0,0,1848,100000,2130,97700,0
31511393,28081653994191,28081653996521,28081654041616,28081654041616,28081654041864,1,1,0,0,2084,47673,2330,45095,0
31511394,28081654090032,28081654090568,28081654147372,28081654147372,28081654147588,1,1,0,0,259,57556,536,56804,0
31511395,28081654245877,28081654246336,28081654335847,28081654335847,28081654336014,1,1,0,0,164,90137,459,89511,0
31511396,28081654497676,28081654500540,28081654578063,28081654578063,28081654578234,1,1,0,0,2600,80558,2864,77523,0
31511397,28081654870878,28081654873117,28081654960952,28081654960952,28081654961125,1,1,0,0,1951,90247,2239,87835,0
31511398,28081655187821,28081655191152,28081655268378,28081655268378,28081655268544,1,1,0,0,2322,80723,3331,77226,0
31511399,28081655458239,28081655460474,28081655532698,28081655532698,28081655532793,1,1,0,0,1988,74554,2235,72224,0
31511400,28081655660248,28081655662471,28081655727700,28081655727700,28081655727871,1,1,0,0,1992,67623,2223,65229,0
31511401,28081655874397,28081655876654,28081655940710,28081655940710,28081655940873,1,1,0,0,1963,66476,2257,64056,0
31511402,28081656133456,28081656137980,28081656196350,28081656196350,28081656196514,1,1,0,0,4183,63058,4524,58370,0
31511403,28081656337642,28081656341081,28081656379059,28081656379059,28081656379481,1,1,0,0,2995,41839,3439,37978,0
31511404,28081656497867,28081656500686,28081656611459,28081656611459,28081656611630,2,1,0,0,2460,113763,2819,110773,0
31511405,28081656767076,28081656769725,28081656859533,28081656859533,28081656859746,2,1,0,0,2342,92670,2649,89808,0
31511406,28081657012768,28081657015255,28081657043882,28081657043882,28081657044054,1,1,0,0,2182,31286,2487,28627,0
31511407,28081657073237,28081657075685,28081657102449,28081657102449,28081657102588,1,1,0,0,2153,29351,2448,26764,0
31511408,28081657142033,28081657144515,28081657169296,28081657169296,28081657169464,1,1,0,0,2170,27431,2482,24781,0
31511409,28081657235168,28081657237840,28081657336127,28081657336127,28081657336250,2,1,0,0,2328,101082,2672,98287,0
31511410,28081657580567,28081657583020,28081657626385,28081657626385,28081657626524,1,1,0,0,2153,45957,2453,43365,0
31511411,28081657728167,28081657730572,28081657794354,28081657794354,28081657794516,1,1,0,0,2199,66349,2405,63782,0
31511412,28081657992843,28081657995536,28081658074393,28081658074393,28081658074594,1,1,0,0,2408,81751,2693,78857,0
31511413,28081658297538,28081658300192,28081658363492,28081658363492,28081658363663,1,1,0,0,2326,66125,2654,63300,0
31511414,28081658558510,28081658561115,28081658617833,28081658617833,28081658617993,1,1,0,0,2297,59483,2605,56718,0
31511415,28081658753544,28081658756058,28081658811862,28081658811862,28081658812028,1,1,0,0,2280,58484,2514,55804,0
31511416,28081658978505,28081658981328,28081659049213,28081659049213,28081659049374,1,1,0,0,2588,70869,2823,67885,0
31511417,28081659242444,28081659245012,28081659290844,28081659290844,28081659290984,1,1,0,0,2231,48540,2568,45832,0
31511418,28081659386356,28081659388836,28081659425220,28081659425220,28081659425397,1,1,0,0,2222,39041,2480,36384,0
31511419,28081659587120,28081659589691,28081659692482,28081659692482,28081659692606,2,1,0,0,2344,105486,2571,102791,0
31511420,28081659854697,28081659857292,28081659944194,28081659944194,28081659944345,2,1,0,0,2339,89648,2595,86902,0
31511421,28081660080683,28081660082983,28081660108646,28081660108646,28081660108792,1,1,0,0,2049,28109,2300,25663,0
31511422,28081660147599,28081660150078,28081660168718,28081660168718,28081660168887,1,1,0,0,2168,21288,2479,18640,0
31511423,28081660235317,28081660237926,28081660318621,28081660318621,28081660318768,1,1,0,0,2295,83451,2609,80695,0
31511424,28081660613591,28081660616064,28081660687643,28081660687643,28081660687793,1,1,0,0,2265,74202,2473,71579,0
31511425,28081660901286,28081660903802,28081660956486,28081660956486,28081660956624,1,1,0,0,2209,55338,2516,52684,0
31511426,28081661019981,28081661022869,28081661023337,28081661023337,28081661023433,1,1,0,0,2194,3452,2888,468,0
31511427,28081661074588,28081661077070,28081661142015,28081661142015,28081661142153,1,1,0,0,2230,67565,2482,64945,0
31511428,28081661329766,28081661332426,28081661387776,28081661387776,28081661387919,1,1,0,0,2373,58153,2660,55350,0
31511429,28081661554872,28081661557432,28081661613925,28081661613925,28081661614067,1,1,0,0,2240,59195,2560,56493,0
31511430,28081661769262,28081661771766,28081661829075,28081661829075,28081661829229,1,1,0,0,2186,59967,2504,57309,0
31511431,28081662044039,28081662046483,28081662091513,28081662091513,28081662091654,1,1,0,0,2084,47615,2444,45030,0
31511432,28081662198172,28081662201044,28081662239086,28081662239086,28081662239237,1,1,0,0,2560,41065,2872,38042,0
31511433,28081662340681,28081662343285,28081662380884,28081662380884,28081662381025,1,1,0,0,2295,40344,2604,37599,0
31511434,28081662531759,28081662534336,28081662644661,28081662644661,28081662644832,2,1,0,0,2257,113073,2577,110325,0
31511435,28081662820684,28081662823210,28081662880886,28081662880886,28081662881026,1,1,0,0,2232,60342,2526,57676,0
31511436,28081663042820,28081663045154,28081663070179,28081663070179,28081663070343,1,1,0,0,2055,27523,2334,25025,0
31511437,28081663103482,28081663106045,28081663155171,28081663155171,28081663155326,1,1,0,0,2240,51844,2563,49126,0
31511438,28081663269167,28081663271609,28081663351120,28081663351120,28081663351265,1,1,0,0,2199,82098,2442,79511,0
31511439,28081663578541,28081663580968,28081663660242,28081663660242,28081663660380,1,1,0,0,2220,81839,2427,79274,0
31511440,28081663859847,28081663862428,28081663933472,28081663933472,28081663933640,1,1,0,0,2276,73793,2581,71044,0
31511441,28081664117835,28081664120473,28081664180213,28081664180213,28081664180367,1,1,0,0,2300,62532,2638,59740,0
31511442,28081664359766,28081664362387,28081664415008,28081664415008,28081664415166,1,1,0,0,2364,55400,2621,52621,0
31511443,28081664673432,28081664675999,28081664782756,28081664782756,28081664782898,2,1,0,0,2294,109466,2567,106757,0
31511444,28081665013065,28081665015486,28081665104851,28081665104851,28081665104991,2,1,0,0,2146,91926,2421,89365,0
31511445,28081665291295,28081665293824,28081665318369,28081665318369,28081665318515,1,1,0,0,2263,27220,2529,24545,0
31511446,28081665413839,28081665416432,28081665495806,28081665495806,28081665495957,1,1,0,0,2228,82118,2593,79374,0
31511447,28081665750773,28081665753349,28081665825793,28081665825793,28081665825943,1,1,0,0,2309,75170,2576,72444,0
31511448,28081666113185,28081666116133,28081666189735,28081666189735,28081666189880,1,1,0,0,2656,76695,2948,73602,0
31511449,28081666412752,28081666415384,28081666471775,28081666471775,28081666471929,1,1,0,0,2434,59177,2632,56391,0
31511450,28081666657552,28081666660101,28081666719347,28081666719347,28081666719488,1,1,0,0,2246,61936,2549,59246,0
31511451,28081666859234,28081666861701,28081666914001,28081666914001,28081666914141,1,1,0,0,2224,54907,2467,52300,0
31511452,28081667056011,28081667058445,28081667117059,28081667117059,28081667117198,1,1,0,0,2107,61187,2434,58614,0
31511453,28081667303084,28081667305686,28081667360702,28081667360702,28081667360852,1,1,0,0,2260,57768,2602,55016,0
31511454,28081667475777,28081667478322,28081667521195,28081667521195,28081667521351,1,1,0,0,2232,45574,2545,42873,0
31511455,28081667678981,28081667681661,28081667783463,28081667783463,28081667783580,2,1,0,0,2333,104599,2680,101802,0
31511456,28081667959329,28081667961950,28081668033805,28081668033805,28081668033978,1,1,0,0,2320,74649,2621,71855,0
31511457,28081668179405,28081668181748,28081668214307,28081668214307,28081668214460,1,1,0,0,2051,35055,2343,32559,0
31511458,28081668242536,28081668244962,28081668269863,28081668269863,28081668270012,1,1,0,0,2178,27476,2426,24901,0
31511459,28081668317651,28081668319942,28081668347258,28081668347258,28081668347399,1,1,0,0,1995,29748,2291,27316,0
31511460,28081668392762,28081668395182,28081668438050,28081668438050,28081668438211,1,1,0,0,2084,45449,2420,42868,0
31511461,28081668545301,28081668547725,28081668614230,28081668614230,28081668614371,1,1,0,0,2160,69070,2424,66505,0
31511462,28081668783637,28081668786173,28081668859791,28081668859791,28081668859971,1,1,0,0,2205,76334,2536,73618,0
31511463,28081669192273,28081669194853,28081669270804,28081669270804,28081669270951,1,1,0,0,2259,78678,2580,75951,0
31511464,28081669478633,28081669481735,28081669546622,28081669546622,28081669546770,1,1,0,0,2421,68137,3102,64887,0
31511465,28081669726479,28081669729114,28081669792180,28081669792180,28081669792327,1,1,0,0,2334,65848,2635,63066,0
31511466,28081669916533,28081669919024,28081669987090,28081669987090,28081669987229,1,1,0,0,2186,70696,2491,68066,0
31511467,28081670138763,28081670141346,28081670181141,28081670181141,28081670181284,1,1,0,0,2335,42521,2583,39795,0
31511468,28081670227287,28081670229888,28081670277080,28081670277080,28081670277228,1,1,0,0,2303,49941,2601,47192,0
31511469,28081670357102,28081670359472,28081670438551,28081670438551,28081670438672,2,1,0,0,2135,81570,2370,79079,0
31511470,28081670530369,28081670532879,28081670568535,28081670568535,28081670568683,1,1,0,0,2252,38314,2510,35656,0
31511471,28081670635157,28081670637604,28081670673342,28081670673342,28081670673490,1,1,0,0,2149,38333,2447,35738,0
31511472,28081670829656,28081670832339,28081670929672,28081670929672,28081670929787,2,1,0,0,2311,100131,2683,97333,0
31511473,28081671075834,28081671078258,28081671156725,28081671156725,28081671156876,2,1,0,0,2084,81042,2424,78467,0
31511474,28081671297743,28081671300146,28081671323439,28081671323439,28081671323583,1,1,0,0,2163,25840,2403,23293,0
31511475,28081671345899,28081671348384,28081671373871,28081671373871,28081671374021,1,1,0,0,2240,28122,2485,25487,0
31511476,28081671414549,28081671416940,28081671435167,28081671435167,28081671435317,1,1,0,0,2175,20768,2391,18227,0
31511477,28081671450726,28081671453075,28081671489105,28081671489105,28081671489249,1,1,0,0,2135,38523,2349,36030,0
31511478,28081671567942,28081671570315,28081671644070,28081671644070,28081671644218,1,1,0,0,2178,76276,2373,73755,0
31511479,28081671877893,28081671880451,28081671927938,28081671927938,28081671928076,1,1,0,0,2297,50183,2558,47487,0
31511480,28081672095800,28081672098463,28081672163688,28081672163688,28081672163827,1,1,0,0,2319,68027,2663,65225,0
31511481,28081672364846,28081672367549,28081672427263,28081672427263,28081672427402,1,1,0,0,2420,62556,2703,59714,0
31511482,28081672608686,28081672611265,28081672665377,28081672665377,28081672665525,1,1,0,0,2283,56839,2579,54112,0
31511483,28081672845408,28081672847848,28081672905472,28081672905472,28081672905626,1,1,0,0,2230,60218,2440,57624,0
31511484,28081673064157,28081673066593,28081673125900,28081673125900,28081673126041,1,1,0,0,2111,61884,2436,59307,0
31511485,28081673297891,28081673300347,28081673339135,28081673339135,28081673339295,1,1,0,0,2205,41404,2456,38788,0
31511486,28081673442498,28081673444987,28081673482151,28081673482151,28081673482309,1,1,0,0,2246,39811,2489,37164,0
31511487,28081673572236,28081673574827,28081673611953,28081673611953,28081673612108,1,1,0,0,2284,39872,2591,37126,0
31511488,28081673775168,28081673777752,28081673848035,28081673848035,28081673848177,1,1,0,0,2306,73009,2584,70283,0
31511489,28081674026288,28081674028690,28081674103280,28081674103280,28081674103419,1,1,0,0,2102,77131,2402,74590,0
31511490,28081674348507,28081674351049,28081674374208,28081674374208,28081674374352,1,1,0,0,2211,25845,2542,23159,0
31511491,28081674450767,28081674453446,28081674536688,28081674536688,28081674536850,1,1,0,0,2340,86083,2679,83242,0
31511492,28081674867803,28081674870430,28081674944351,28081674944351,28081674944507,1,1,0,0,2394,76704,2627,73921,0
31511493,28081675167597,28081675170178,28081675232844,28081675232844,28081675232999,1,1,0,0,2255,65402,2581,62666,0
31511494,28081675381930,28081675384610,28081675444067,28081675444067,28081675444209,1,1,0,0,2391,62279,2680,59457,0
31511495,28081675630233,28081675632914,28081675689220,28081675689220,28081675689366,1,1,0,0,2432,59133,2681,56306,0
