batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
31138882,27375157490985,27375157493466,27375157577518,27375157577518,27375157577669,2,1,0,0,2144,86684,2481,84052,0
31138883,27375157703855,27375157706443,27375157746909,27375157746909,27375157747088,1,1,0,0,2276,43233,2588,40466,0
31138884,27375157825274,27375157827774,27375157828658,27375157828658,27375157828750,1,1,0,0,2214,3476,2500,884,0
31138885,27375157971864,27375157974706,27375158393932,27375158393932,27375158394091,7,1,0,0,2456,422227,2842,419226,0
31138886,27375159231053,27375159233834,27375159406867,27375159406867,27375159407021,3,1,0,0,2516,175968,2781,173033,0
31138887,27375159850952,27375159853735,27375160040543,27375160040543,27375160040730,3,1,0,0,2402,189778,2783,186808,0
31138888,27375160435582,27375160438423,27375160849833,27375160849833,27375160850040,7,1,0,0,2499,414458,2841,411410,0
31138889,27375161741481,27375161745032,27375162187055,27375162187055,27375162187249,7,1,0,0,3037,445768,3551,442023,0
31138890,27375163024688,27375163029056,27375163336110,27375163336110,27375163336287,5,1,0,0,3955,311599,4368,307054,0
31138891,27375164016750,27375164019907,27375164732820,27375164732820,27375164732973,12,1,0,0,2859,716223,3157,712913,0
31138892,27375166174889,27375166178459,27375166423585,27375166423585,27375166423736,4,1,0,0,3018,248847,3570,245126,0
31138893,27375167095734,27375167098582,27375167225792,27375167225792,27375167225936,5,1,0,0,2509,130202,2848,127210,0
31138894,27375167259846,27375167262544,27375167351923,27375167351923,27375167352088,3,1,0,0,2388,92242,2698,89379,0
31138895,27375167369518,27375167372261,27375167419341,27375167419341,27375167419494,2,1,0,0,2442,49976,2743,47080,0
31138896,27375167435978,27375167438587,27375167463880,27375167463880,27375167464364,1,1,0,0,2349,28386,2609,25293,0
31138897,27375167480683,27375167483407,27375167509317,27375167509317,27375167509504,1,1,0,0,2396,28821,2724,25910,0
31138898,27375167529638,27375167532301,27375167627330,27375167627330,27375167627484,4,1,0,0,2346,97846,2663,95029,0
31138899,27375167644796,27375167647440,27375167738044,27375167738044,27375167738235,5,1,0,0,2328,93439,2644,90604,0
31138900,27375167764746,27375167767393,27375167950006,27375167950006,27375167950146,9,1,0,0,2324,185400,2647,182613,0
31138901,27375167979262,27375167982191,27375168148230,27375168148230,27375168148423,7,1,0,0,2588,169161,2929,166039,0
