idx,label,ts_utc,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,wall_s,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,batch_records,decomp_records,ft_fast_verified,ft_fast_nranges,ft_fast_verify_ns,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident,trace_pushes,trace_overwrites,ft_same_region,spec_region_invalid,spec_pages_requested,ft_fast_cas_giveup
1,SMOKE stencil pf0 W64 f1,2026-09-25T21:22:40Z,stencil,new,6,1,0,4096,64,1,0,3.440750,0,33FD42E6E16B0A6658E2BEB,60203952,59994444,38.9,0,69277,69277,1,2,182260271,3012311,455560,455560,0,428,455470,1124999,1,1876563,0,10749,1124974,0,0,669439,0,29149840,0
2,SMOKE stencil pf0 W512 f1,2026-09-25T21:22:45Z,stencil,new,6,1,0,4096,512,1,0,3.315742,0,33FD42E6E16B0A6658E2BEB,60243844,59999668,38.9,0,73230,73230,1,2,142039430,2980210,2199,2199,0,2198,2198,1124977,23,1844301,0,10932,1124488,0,0,1122778,0,1125000,0
3,SMOKE stencil pf1 W512 f1,2026-09-25T21:22:48Z,stencil,new,6,1,1,4096,512,1,0,1.062447,0,33FD42E6E16B0A6658E2BEB,60259488,60011332,38.9,0,3638,3638,1,2,142676179,200918,2198,2198,0,1276,1580,200918,923535,0,0,0,21278,0,0,198720,0,808584,0
4,SMOKE graphbfs pf0 W64 f1,2026-09-25T21:23:22Z,graphbfs,new,6,1,0,4096,64,1,0,33.079321,0,33FD42E6E16B0A6658E2BEB,60280320,59880184,38.9,0,23995,23995,1,19,55470695,479724,65335,65335,0,836,63527,84405,203551,359250,0,36069,181371,0,0,19070,0,4065698,0
5,SMOKE graphbfs pf0 W512 f1,2026-09-25T21:23:57Z,graphbfs,new,6,1,0,4096,512,1,0,32.934341,0,33FD42E6E16B0A6658E2BEB,60119484,59989376,38.9,0,23904,23904,1,19,55203219,475959,56790,56790,0,884,55180,79256,208700,362422,0,34281,226123,0,0,22466,0,28244408,0
6,SMOKE graphbfs pf1 W64 f1,2026-09-25T21:24:30Z,graphbfs,new,6,1,1,4096,64,1,0,31.517902,0,33FD42E6E16B0A6658E2BEB,60246036,59959880,38.9,0,414,414,1,19,55819927,38129,3120,3120,0,142,2935,5424,282532,31633,0,1072,1952,0,0,2304,0,187837,0
7,SMOKE graphbfs pf1 W512 f1,2026-09-25T21:25:03Z,graphbfs,new,6,1,1,4096,512,1,0,31.566497,0,33FD42E6E16B0A6658E2BEB,60224432,59749536,38.9,0,305,305,1,19,55750622,28303,1762,1762,0,54,1696,4168,283788,23083,0,1052,2751,0,0,2406,0,867706,0
