idx,label,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,dump_rings
89,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
90,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
91,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
92,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
93,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
94,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
95,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
96,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
97,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
98,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
99,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
100,stencil C1,stencil,new,0,0,0,,1,0,0,1
101,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
102,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
103,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
104,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
105,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
106,stencil C1,stencil,new,0,0,0,,1,0,0,1
107,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
108,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
109,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
110,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
111,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
112,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
113,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
114,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
115,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
116,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
117,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
118,stencil C0,stencil,new,0,0,1,,1,0,0,1
119,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
120,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
121,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
122,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
123,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
124,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
125,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
126,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
127,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
128,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
129,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
130,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
131,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
132,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
133,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
134,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
135,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
136,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
137,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
138,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
139,stencil C1,stencil,new,0,0,0,,1,0,0,1
140,stencil C0,stencil,new,0,0,1,,1,0,0,1
141,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
142,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
143,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
144,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
145,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
146,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
147,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
148,stencil C0,stencil,new,0,0,1,,1,0,0,1
149,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
150,stencil C1,stencil,new,0,0,0,,1,0,0,1
151,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
152,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
153,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
154,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
155,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
156,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
157,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
158,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
159,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
160,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
161,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
162,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
163,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
164,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
165,stencil C1,stencil,new,0,0,0,,1,0,0,1
166,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
167,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
168,stencil C0,stencil,new,0,0,1,,1,0,0,1
169,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
170,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
171,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
172,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
173,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
174,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
175,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
176,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
177,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
178,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
179,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
180,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
181,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
182,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
183,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
184,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
185,stencil C1,stencil,new,0,0,0,,1,0,0,1
186,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
