batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
2638,6923,6152,40,20499,19818,1674,20709,35518,81,1,1
2639,6403,2665,40,20459,20078,16080,20639,45827,40,1,1
2640,2856,1172,50,19657,19417,9948,19817,33854,21,1,1
2641,5731,4719,50,13526,12955,1052,13726,25278,66,1,1
2642,6613,4929,50,13155,12563,1863,13356,26821,69,1,1
2643,8276,6332,40,19467,18766,4268,19677,38603,84,1,1
2644,6483,5430,40,21992,21341,3346,22192,37511,76,1,1
2645,6663,2204,40,19668,19327,10800,19848,39565,35,1,1
2646,2505,491,40,19116,18956,6502,19267,28805,10,1,1
2647,4599,1723,40,10780,10500,1553,10951,18866,26,1,1
2648,6923,4568,40,11602,11041,1212,11793,24556,64,1,1
2649,6573,4779,40,19517,18926,4429,19727,35548,69,1,1
2650,7784,6142,40,21170,20489,2053,21370,37400,80,1,1
2651,6031,1543,50,19497,19226,8225,19678,35507,27,1,1
2652,6632,3276,40,20148,19707,3777,20339,34064,48,1,1
2653,5260,1783,40,9407,9107,1482,9569,18154,29,1,1
2654,4328,1333,50,8937,8676,1352,9107,16160,24,1,1
2655,5220,1222,40,12514,12263,1393,12674,20559,22,1,1
2656,5420,2134,50,13957,13626,1583,14127,23314,34,1,1
2657,7183,5651,40,24156,23505,732,24366,37982,76,1,1
2658,17603,22042,40,25278,23393,3236,25599,68530,237,1,2
2659,5991,2635,40,19397,19016,1724,19577,29967,40,1,1
2660,4158,871,40,8867,8656,1282,9017,15369,16,1,1
2661,8145,8617,40,16531,15630,1062,16762,34636,110,1,1
2662,7645,6422,40,19657,18936,2625,19868,36610,85,1,1
2663,4890,1332,40,15379,15109,1683,15540,23495,24,1,1
2664,6953,5591,40,19657,19006,1643,19858,34095,76,1,1
2665,6081,3527,40,20880,20409,9999,21060,40707,52,1,1
2666,2414,972,40,19287,19056,8957,19447,31840,19,1,1
2667,2454,702,40,11111,10921,2555,11261,17022,13,1,1
2668,6172,3547,40,11562,11091,1232,11752,22743,53,1,1
2669,5972,4638,40,16170,15599,1804,16371,28835,66,1,1
2670,6533,4709,40,17393,16802,3236,17593,32121,69,1,1
2671,5340,4078,40,18765,18255,3546,18956,31970,58,1,1
2672,4809,2405,40,20589,20229,9338,20769,37371,38,1,1
2673,5310,3136,40,20088,19658,10861,20268,39625,47,1,1
2674,10550,6182,50,17824,17133,1293,18044,36119,83,1,1
2675,6913,5520,40,19567,18916,2966,19778,35227,76,1,1
2676,6643,4458,40,17453,16903,3627,17654,32442,63,1,1
2677,5710,4137,40,18655,18124,3296,18856,32050,61,1,1
2678,4579,1763,51,20058,19777,19457,20229,46078,27,1,1
2679,14137,17733,40,24607,23044,19316,24907,76144,194,1,2
2680,13004,14698,40,23434,20799,1734,23715,53191,172,1,1
2681,6582,5430,40,18535,17894,1914,18746,32732,75,1,1
2682,6773,5019,40,17744,17152,2956,17954,32742,68,1,1
2683,7424,6442,50,19176,18475,2064,19397,35377,85,1,1
2684,5740,2735,40,20970,20599,19807,21140,49463,38,1,1
2685,5661,3817,40,21060,20579,16872,21251,47641,53,1,1
2686,6052,5831,40,14688,14017,1132,14888,27953,78,1,1
2687,6062,2735,40,10300,9919,1282,10480,20609,40,1,1
2688,6202,4959,40,13736,13144,1593,13937,26751,69,1,1
2689,4839,722,40,9087,8897,1433,9247,16271,15,1,1
2690,6582,4970,40,17083,16492,3216,17273,32101,68,1,1
2691,5962,4528,40,17503,16952,2424,17704,30658,63,1,1
2692,6202,2094,40,19778,19437,19737,19938,48021,33,1,1
2693,3848,3126,40,20228,19757,12915,20408,40337,47,1,2
2694,5190,2805,41,12854,12433,1603,13025,22683,44,1,1
2695,4077,632,40,8937,8756,1613,9087,15459,12,1,1
2696,6843,6042,40,14898,14217,2214,15098,30257,81,1,1
2697,6612,4389,40,16191,15630,2825,16391,30277,65,1,1
2698,7925,5901,40,20890,20199,1563,21100,36539,82,1,1
2699,6282,2144,40,19657,19317,16371,19827,44674,34,1,1
2700,3186,761,40,18886,18686,12504,19036,35548,16,1,1
2701,5130,3456,40,13325,12844,1122,13506,23264,53,1,1
2702,7634,6473,40,14277,13546,1974,14487,30618,87,1,1
2703,6423,5109,41,19887,19246,4118,20088,35788,74,1,1
2704,7044,6302,40,21521,20810,2194,21731,37321,84,1,1
2705,6422,1854,40,20008,19698,14287,20178,42791,30,1,1
2706,6282,3417,50,21791,21371,7885,21981,39615,47,1,1
2707,1874,291,40,10309,10189,652,10469,13326,5,1,1
2708,10580,8977,40,11021,10079,1083,11261,31951,115,1,1
2709,3136,1824,40,11812,11502,2515,11982,19497,30,1,1
2710,7194,6062,40,20078,19387,1984,20278,35568,81,1,1
2711,7575,6252,40,20359,19657,2945,20569,37401,83,1,1
2712,6282,1824,40,20138,19828,12534,20318,40998,31,1,1
2713,5591,3036,40,19998,19597,6081,20178,34936,43,1,1
2714,4919,2295,40,11362,11011,1773,11532,20579,36,1,1
2715,6482,4349,40,19006,18465,1553,19206,31640,59,1,2
2716,5641,4248,40,18385,17844,3206,18575,31720,61,1,1
2717,7754,6643,40,21371,20640,1853,21581,37891,88,1,1
2718,6502,1843,41,19717,19406,9137,19888,37400,31,1,1
2719,5741,3065,40,20158,19727,5991,20349,35196,47,1,1
2720,4338,1282,51,11301,11051,1533,11472,18665,24,1,1
2721,3256,992,40,6793,6573,1142,6943,12383,18,1,1
2722,3326,1032,40,9478,9247,1713,9639,15760,19,1,1
2723,6502,5270,40,20690,20068,4488,20890,37200,71,1,1
2724,7154,6182,40,17293,16592,4238,17493,35127,82,1,1
2725,4448,1092,40,12995,12765,1613,13155,20358,20,1,1
2726,5791,2144,40,19687,19357,5751,19867,33603,35,1,1
2727,6703,3146,50,19858,19437,2494,20038,32441,46,1,1
2728,3927,621,41,8756,8576,1002,8917,14507,14,1,1
2729,5901,3446,40,22552,22042,1783,22744,33914,53,1,2
2730,4629,551,40,12684,12504,1834,12834,19908,13,1,1
2731,6513,5290,40,15690,15069,6132,15890,33875,72,1,1
2732,1423,400,40,14146,13996,581,14297,16752,8,1,1
2733,12003,7594,40,21090,20259,1663,21310,42621,96,1,2
2734,7314,5470,40,22834,22212,9608,23034,45476,72,1,1
2735,5170,1884,40,15319,14988,12514,15489,35107,32,1,1
2736,3887,2214,40,13054,12704,10309,13225,29696,37,1,1
2737,1843,481,51,9357,9207,7795,9518,19687,10,1,1
2738,6383,4268,40,13816,13295,6022,14006,30729,59,1,1
2739,2285,1072,40,15690,15459,621,15850,19868,19,1,1
2740,17624,22422,40,6773,4929,5300,7094,52500,238,1,1
2741,16742,23154,40,24837,22914,1402,25158,66506,247,1,1
2742,5580,2435,50,20810,20459,11321,20990,40376,37,1,1
2743,1974,611,40,19307,19126,12884,19457,34986,13,1,1
2744,3206,1272,40,14608,14368,2825,14778,22131,22,1,1
2745,6923,5370,40,18114,17483,2395,18325,33063,73,1,1
2746,6452,4699,40,17413,16842,3276,17604,32081,67,1,1
2747,5179,3907,40,17754,17243,3667,17934,30748,57,1,1
2748,5981,2405,40,20349,19998,17092,20529,46047,36,1,1
2749,2715,1122,40,19176,18946,17674,19327,40898,20,1,1
2750,6362,4589,40,15219,14627,1984,15409,28404,65,1,2
2751,7725,5250,40,15369,14778,1243,15569,29827,70,1,1
2752,7123,5992,40,17072,16381,2104,17272,32551,81,1,1
2753,6573,4498,40,16771,16220,3366,16963,31460,63,1,1
2754,5661,4178,40,17693,17173,3466,17874,31239,59,1,1
2755,5901,2154,40,20088,19768,20720,20258,49073,32,1,1
