batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
10471237,10913854443973,10913854451708,10913854796844,10913854796844,10913854797107,7,1,0,0,6556,353134,7735,345136,0
10471238,10913854846483,10913854849331,10913854927102,10913854927102,10913854927308,3,1,0,0,2663,80825,2848,77771,0
10471239,10913854962017,10913854964354,10913855074769,10913855074769,10913855074972,3,1,0,0,2097,112955,2337,110415,0
10471240,10913855111903,10913855113955,10913855170168,10913855170168,10913855170342,2,1,0,0,1887,58439,2052,56213,0
10471241,10913855235666,10913855237757,10913855533432,10913855533432,10913855533605,12,1,0,0,1917,297939,2091,295675,0
10471242,10913855562187,10913855564378,10913855724217,10913855724217,10913855724391,7,1,0,0,1950,162204,2191,159839,0
10471243,10913855760656,10913855762752,10913855853303,10913855853303,10913855853400,4,1,0,0,1935,92744,2096,90551,0
10471244,10913855889107,10913855891302,10913856041887,10913856041887,10913856042090,6,1,0,0,1952,152983,2195,150585,0
10471245,10913856066828,10913856069069,10913856314525,10913856314525,10913856314625,11,1,0,0,2019,247797,2241,245456,0
10471246,10913856339119,10913856341200,10913856515764,10913856515764,10913856515932,8,1,0,0,1920,176813,2081,174564,0
10471247,10913856539148,10913856541309,10913856697540,10913856697540,10913856697714,7,1,0,0,1936,158566,2161,156231,0
10471248,10913856719844,10913856722006,10913856892508,10913856892508,10913856892622,6,1,0,0,1944,172778,2162,170502,0
10471249,10913856901290,10913856903557,10913856950664,10913856950664,10913856950764,2,1,0,0,2028,49474,2267,47107,0
10471250,10913857035993,10913857038113,10913857311685,10913857311685,10913857311862,14,1,0,0,1894,275869,2120,273572,0
10471251,10913857343150,10913857345395,10913857635364,10913857635364,10913857635475,11,1,0,0,2072,292325,2245,289969,0
10471252,10913857656867,10913857659160,10913857797200,10913857797200,10913857797298,6,1,0,0,2055,140431,2293,138040,0
10471253,10913857826174,10913857828242,10913858096722,10913858096722,10913858096866,11,1,0,0,1905,270692,2068,268480,0
10471254,10913858116554,10913858118846,10913858204756,10913858204756,10913858204925,4,1,0,0,2109,88371,2292,85910,0
10471255,10913858226520,10913858228686,10913858390161,10913858390161,10913858390359,7,1,0,0,1943,163839,2166,161475,0
10471256,10913858424384,10913858426609,10913858745080,10913858745080,10913858745179,13,1,0,0,2062,320795,2225,318471,0
10471257,10913858802642,10913858805224,10913859068603,10913859068603,10913859068912,10,1,0,0,2307,266270,2582,263379,0
10471258,10913859102516,10913859104689,10913859318904,10913859318904,10913859319018,9,1,0,0,2001,216502,2173,214215,0
10471259,10913859351873,10913859354366,10913859734034,10913859734034,10913859734149,16,1,0,0,2259,382276,2493,379668,0
10471260,10913859745852,10913859748094,10913859818305,10913859818305,10913859818407,3,1,0,0,2074,72555,2242,70211,0
10471261,10913859850256,10913859852398,10913860026650,10913860026650,10913860026863,9,1,0,0,1915,176607,2142,174252,0
