batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
500,7264,4048,50,30087,29486,1653,30307,43322,52,1,2
501,7945,6432,50,22383,21641,1763,22613,38813,75,1,1
502,7074,2825,50,23585,23164,12373,23785,46117,38,1,1
503,3026,1633,50,22793,22493,6562,22984,34265,24,1,1
504,5711,2325,50,12714,12323,1283,12904,22273,33,1,1
505,7614,4569,50,14498,13927,1543,14718,28504,55,1,1
506,7233,5350,40,23564,22883,4449,23795,40867,67,1,1
507,7514,5952,50,17763,17052,4147,17984,35657,71,1,1
508,4148,2395,50,15820,15409,2094,16010,24707,35,1,1
509,7474,3467,50,23464,22994,9728,23675,44404,44,1,1
510,3135,1333,50,21992,21731,5961,22182,32661,20,1,1
511,4488,1343,50,9989,9709,2575,10169,18635,21,1,1
512,4698,1914,50,10009,9659,1323,10209,18194,31,1,1
513,4678,1052,50,7283,7033,1092,7475,14347,19,1,1
514,5110,4368,50,21931,21370,2335,22152,34015,55,1,1
515,7794,5942,40,17583,16872,6272,17803,37861,72,1,1
516,3647,741,50,14297,14087,1904,14477,20809,13,1,1
517,9067,3146,50,22382,21951,1523,22582,36378,40,1,1
518,6623,2334,51,22091,21711,1804,22292,33103,34,1,1
519,4409,1362,51,10710,10419,1423,10901,18155,23,1,1
520,6523,3687,50,11371,10871,2174,11582,24026,49,1,1
521,3817,2505,50,12784,12403,2545,12974,21901,34,1,1
522,3717,2374,51,16180,15800,2265,16381,24787,34,1,1
523,4689,1392,50,26380,26069,1773,26561,34475,21,1,2
524,7494,5881,50,21862,21170,1603,22092,37120,70,1,1
525,7134,2614,40,23224,22803,11051,23414,44254,37,1,1
526,7194,5621,50,25047,24376,9298,25277,47440,69,1,1
527,8195,7565,50,20068,19237,1182,20308,37310,86,1,1
528,8697,7905,50,20509,19647,2705,20749,40116,91,1,1
529,7374,5490,50,20699,20018,3667,20930,37511,69,1,1
530,2896,1983,51,18474,18144,731,18666,24326,28,1,1
531,19737,27362,40,8236,5991,12925,8616,68690,252,1,1
532,8486,5791,40,25609,24907,10820,25829,50976,71,1,1
533,2975,1482,51,22672,22382,12333,22854,39705,23,1,1
534,4779,2896,50,18014,17573,2184,18214,28123,40,1,1
535,7284,6182,50,19948,19226,2445,20178,36139,74,1,1
536,8095,5701,50,19507,18826,3156,19737,36729,71,1,1
537,2625,1763,51,19627,19326,1242,19818,25498,26,1,1
538,19507,26049,40,7985,5801,20749,8356,74711,249,1,1
539,5731,3196,41,24155,23704,19036,24346,52359,42,1,1
540,8636,6162,40,23886,23183,18725,24106,57689,72,1,1
541,7223,5761,50,15319,14617,1112,15550,29696,72,1,1
542,7113,5000,50,12774,12163,1533,12994,26680,63,1,1
543,8526,6392,50,19496,18735,1152,19718,35848,79,1,1
544,8876,5501,40,19317,18655,6462,19537,40416,67,1,1
545,3627,2455,50,18215,17844,641,18415,25188,34,1,1
546,19647,24877,40,7525,5451,17413,7875,69872,235,1,1
547,6011,3166,40,24597,24146,15860,24787,49874,41,1,1
548,2885,1383,50,22092,21842,16692,22272,43292,20,1,1
