batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
443,20012,15530,106,54945,53251,1858,55574,93080,80,1,1
444,11484,9459,106,48092,46893,1755,48601,71390,54,1,1
445,43615,31065,149,75244,72471,19346,76113,170243,140,1,1
446,12239,7436,103,59979,59063,15608,60435,95806,40,1,1
447,17525,16868,118,52489,50690,1477,53135,89108,85,1,1
448,10173,8474,97,40810,39704,1781,41291,61808,49,1,1
449,975,198,92,36470,36272,1075,36765,39103,1,1,1
450,28867,41270,156,57199,54344,1608,58065,129912,135,1,2
451,42153,33400,104,75385,72412,21253,76257,173165,152,1,1
452,15816,8885,102,60466,59418,15920,60953,101671,47,1,1
453,13987,10054,130,34740,33534,1763,35287,61194,54,1,1
454,9376,4500,100,27796,27100,1704,28204,43876,28,1,1
455,8359,7224,103,30766,29795,1740,31226,48640,42,1,1
456,18625,3851,186,27647,26980,1742,28156,52466,26,1,1
457,5823,3682,98,47216,46556,3619,47606,60824,24,1,1
458,11928,11820,98,49133,47758,1936,49770,75541,63,1,1
459,42630,32143,101,72639,69749,26428,73488,174788,147,1,1
460,17369,11004,103,62603,61305,15546,63131,107143,59,1,1
461,16107,13905,101,56376,44131,1856,56998,88968,72,1,1
462,6019,4001,99,31144,30460,1766,31553,43431,27,1,1
463,5507,203,96,23903,23709,1797,24198,31796,1,1,1
464,6328,4812,96,44562,43812,3920,44978,60132,31,1,1
465,12808,11655,100,47603,46250,2166,48144,74871,63,1,1
466,42342,34495,124,76643,73619,25077,77544,179555,153,1,1
467,16316,10559,96,62476,61228,15704,62988,105673,58,1,1
468,16939,16760,137,43784,42020,1780,44450,80028,85,1,1
469,8757,6980,103,32919,31951,1919,33380,51124,42,1,1
470,4332,201,91,24109,23916,1796,24394,30813,1,1,1
471,14368,12568,105,48050,46645,1756,48597,77377,67,1,1
472,16255,15513,100,56981,55354,2801,57568,92232,79,1,1
473,41711,33844,135,71636,68685,24101,72528,172288,151,1,1
474,42684,42035,159,73630,70027,9157,74663,168634,183,1,1
475,14075,13516,170,50577,48935,3384,51365,82467,58,1,1
476,14975,13230,373,43736,42153,2255,44579,75167,55,1,1
477,3536,1433,224,41779,41349,1313,42319,49093,9,1,1
478,40288,41718,172,89724,85634,2160,91362,175685,145,1,1
479,19120,17880,179,85230,83305,2098,86218,125620,74,1,1
480,53441,38727,320,113941,110296,22688,115682,230869,147,1,1
481,20484,11341,175,105432,103968,14486,106229,152830,49,1,1
482,16113,11725,156,53006,51520,2333,53927,84244,50,1,1
483,14021,7710,152,44863,43735,2443,45620,70148,36,1,1
484,5625,307,114,34034,33726,2257,34423,42769,1,1,1
485,36031,17231,214,91337,89111,2166,92292,147875,72,1,1
486,23747,24144,149,86717,84205,3351,87694,139078,91,1,1
487,57311,38634,189,110537,106874,13144,112115,221529,139,1,1
488,23966,13823,179,99403,97878,7963,100310,146173,60,1,1
489,9498,4542,208,46892,46128,2216,47501,63894,21,1,1
490,10369,4364,135,34874,34141,2070,35410,52349,21,1,1
491,5262,253,149,22229,21912,2039,22625,30307,1,1,1
492,6976,4132,102,47752,46885,4931,48242,64446,23,1,1
493,8460,3284,132,59570,58848,2335,60088,74321,18,1,1
494,21935,19766,112,61828,59609,7406,62697,112427,82,1,1
495,5696,277,117,51097,50835,2407,51450,59932,1,1,1
496,15624,1577,129,99481,98914,16279,99935,133715,9,1,1
497,34530,18955,222,87716,85852,2329,88830,144935,78,1,1
498,11300,4989,160,37392,36472,2037,37946,56617,28,1,1
499,5107,253,115,25898,25659,2075,26249,33818,1,1,1
500,5400,220,100,23358,23103,2349,23695,31818,1,1,1
501,23781,17214,149,64708,62613,3047,65761,109943,66,1,1
502,9693,3915,147,48954,48350,1863,49506,65264,21,1,1
503,20575,20677,114,63657,61449,4213,64342,109904,100,1,1
504,9960,243,132,58814,58593,1927,59171,71400,1,1,1
505,5819,198,96,55859,55680,3002,56168,65275,1,1,1
506,4249,197,98,24080,23851,1904,24395,30837,1,1,1
507,1279,193,98,17754,17554,1024,18046,20624,1,1,1
508,38202,44457,98,50124,46306,1850,51125,135718,193,1,1
509,12599,12358,109,46424,44917,1750,46979,73775,66,1,1
510,4540,192,90,35829,35634,1765,36130,42718,1,1,1
511,7633,6545,100,63164,62262,1820,63694,79790,38,1,1
512,41544,32703,104,79523,76563,6185,80395,160926,150,1,1
513,15401,18119,118,66054,64656,9716,66625,109953,65,1,1
514,19080,17568,124,49999,48137,1882,50659,89296,88,1,1
515,10371,7568,107,41697,40675,1749,42174,61960,44,1,1
516,1961,552,132,41117,40850,1374,41481,45472,4,1,1
517,31878,38517,111,61259,57701,1994,62215,134690,175,1,2
518,41672,35138,105,76819,73739,11803,77722,166442,158,1,1
519,19160,12856,101,63615,62193,11033,64161,107301,66,1,1
520,16280,13501,113,46235,44718,1798,46817,78499,71,1,1
521,11361,8562,226,71742,70433,2336,72474,94873,42,1,1
522,2391,924,149,67762,67262,1445,68243,73138,5,1,1
523,38620,43863,232,100188,95384,2413,101640,186870,165,1,2
524,54329,45074,320,125042,120913,28736,126673,255113,163,1,1
525,23569,17501,147,124336,122135,18631,125419,185263,69,1,1
526,24257,19809,166,78966,76610,2321,80028,126598,79,1,1
527,11860,9172,162,69754,68485,2177,70519,93848,42,1,1
528,7338,4589,122,77146,76364,5232,77707,94998,23,1,1
529,17463,15904,161,79878,77845,2187,80814,116502,66,1,1
530,68896,43584,208,125832,122081,25083,127593,265335,149,1,1
531,20090,13268,166,104880,103164,25169,105762,164449,56,1,1
532,21037,20498,207,70591,68388,2258,71711,115649,80,1,1
533,10850,8389,175,61595,60357,2321,62297,84001,39,1,1
534,3924,1988,147,66473,65873,17899,67011,90978,12,1,1
535,14540,11258,185,75110,73697,2090,75880,103902,46,1,1
536,49805,38515,281,103593,100071,28690,105085,222518,153,1,1
537,25060,17776,163,104618,102544,19416,105603,167988,67,1,1
538,12522,11169,159,48754,47300,1573,49354,74735,59,1,1
539,21539,9859,134,37171,36050,1814,37708,71042,49,1,1
540,6187,3939,97,46333,45689,4421,46728,61436,25,1,1
541,18668,19598,98,62299,60263,3695,62953,105008,98,1,1
542,42392,31625,106,73451,70548,22958,74309,171386,145,1,1
543,16546,7001,103,59934,58997,14123,60384,98149,39,1,1
544,15946,11774,140,35491,34079,1811,36100,65732,63,1,1
545,10148,7245,101,34046,32997,1872,34509,53868,43,1,1
546,18653,18362,111,56251,54388,1765,56904,95790,90,1,1
547,12225,11846,107,54544,53177,1725,55086,80977,64,1,1
548,42569,34500,116,71737,68793,20400,72617,170183,150,1,1
549,16252,9577,107,78649,77462,12385,79198,117512,51,1,1
550,42434,21466,113,37436,35369,28620,38154,130777,100,1,1
