Run_ID,Time_ms,Bandwidth_GBs
1,64704.69,2.53
2,64710.84,2.53
3,64889.81,2.52
4,64718.56,2.53
5,64636.63,2.53
6,64828.30,2.53
7,64817.77,2.53
8,64673.40,2.53
9,64922.23,2.52
10,64618.00,2.54
11,64747.16,2.53
12,64806.96,2.53
13,64803.59,2.53
14,65007.45,2.52
15,64814.07,2.53
16,64788.83,2.53
17,64801.57,2.53
18,64901.81,2.52
19,64836.42,2.53
20,64628.05,2.54
