Run_ID,Time_ms
1,2319
2,2325
3,2329
4,2320
5,2337
6,2305
7,2327
8,2339
9,2330
10,2304
11,2332
12,2322
13,2339
14,2309
15,2303
16,2314
17,2330
18,2365
19,2389
20,2326
