Run_ID,Time_ms,Bandwidth_GBs
1,358.20,2.25
2,365.93,2.20
3,365.79,2.20
4,366.33,2.20
5,379.74,2.12
6,360.52,2.23
7,364.80,2.21
8,367.63,2.19
9,367.81,2.19
10,366.98,2.19
11,366.71,2.20
12,370.37,2.17
13,365.94,2.20
14,362.97,2.22
15,364.68,2.21
16,358.62,2.25
17,368.63,2.18
18,367.86,2.19
19,365.30,2.20
20,368.43,2.19
