Run_ID,Time_ms,Bandwidth_GBs
1,39115.76,2.56
2,39187.82,2.55
3,39050.85,2.56
4,39019.00,2.56
5,39059.50,2.56
6,39069.11,2.56
7,39100.62,2.56
8,39080.99,2.56
9,39039.98,2.56
10,39174.00,2.55
11,38977.96,2.57
12,39177.25,2.55
13,39001.59,2.56
14,39145.36,2.55
15,39090.10,2.56
16,39069.71,2.56
17,38998.64,2.56
18,39077.20,2.56
19,39082.03,2.56
20,39014.66,2.56
