Run_ID,Time_ms,Bandwidth_GBs
1,1034.97,2.02
2,1040.51,2.01
3,1040.71,2.01
4,1042.10,2.01
5,1039.92,2.01
6,1043.19,2.00
7,1040.95,2.01
8,1046.00,2.00
9,1041.82,2.01
10,1042.20,2.01
11,1042.45,2.01
12,1038.38,2.01
13,1038.35,2.01
14,1040.05,2.01
15,1042.30,2.01
16,1036.95,2.02
17,1035.97,2.02
18,1046.70,2.00
19,1040.39,2.01
20,1042.16,2.01
