batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
10796911,11565604910319,11565604917014,11565605387482,11565605387482,11565605387742,1,1,0,0,5555,477423,6695,470468,0
10796912,11565605413751,11565605416787,11565605534420,11565605534420,11565605534592,1,1,0,0,2734,120841,3036,117633,0
10796913,11565605580453,11565605583252,11565605681248,11565605681248,11565605681435,1,1,0,0,2549,100982,2799,97996,0
10796914,11565605918899,11565605921511,11565605987031,11565605987031,11565605987205,1,1,0,0,2418,68306,2612,65520,0
10796915,11565606172388,11565606174939,11565606288075,11565606288075,11565606288246,2,1,0,0,2272,115858,2551,113136,0
10796916,11565606484512,11565606487054,11565606546249,11565606546249,11565606546438,1,1,0,0,2277,61926,2542,59195,0
10796917,11565606735078,11565606737644,11565606777479,11565606777479,11565606777651,1,1,0,0,2320,42573,2566,39835,0
10796918,11565606891806,11565606894388,11565606990018,11565606990018,11565606990183,2,1,0,0,2334,98377,2582,95630,0
10796919,11565607166610,11565607169037,11565607194535,11565607194535,11565607194723,1,1,0,0,2150,28113,2427,25498,0
10796920,11565607244318,11565607246783,11565607290987,11565607290987,11565607291143,1,1,0,0,2220,46825,2465,44204,0
10796921,11565607397576,11565607400078,11565607469030,11565607469030,11565607469202,1,1,0,0,2254,71626,2502,68952,0
10796922,11565607643556,11565607646139,11565607718304,11565607718304,11565607718478,1,1,0,0,2390,74922,2583,72165,0
10796923,11565607967160,11565607969735,11565608016194,11565608016194,11565608016390,1,1,0,0,2333,49230,2575,46459,0
10796924,11565608121307,11565608124084,11565608185036,11565608185036,11565608185209,1,1,0,0,2528,63902,2777,60952,0
10796925,11565608285450,11565608288101,11565608348281,11565608348281,11565608348462,1,1,0,0,2343,63012,2651,60180,0
10796926,11565608488854,11565608491585,11565608557143,11565608557143,11565608557325,1,1,0,0,2492,68471,2731,65558,0
10796927,11565608773968,11565608776742,11565608832693,11565608832693,11565608832868,1,1,0,0,2507,58900,2774,55951,0
10796928,11565608992107,11565608994770,11565609069217,11565609069217,11565609069405,1,1,0,0,2415,77298,2663,74447,0
10796929,11565609258927,11565609261577,11565609311509,11565609311509,11565609311693,1,1,0,0,2404,52766,2650,49932,0
10796930,11565609451914,11565609454314,11565609489995,11565609489995,11565609490156,1,1,0,0,2149,38242,2400,35681,0
10796931,11565609615065,11565609617609,11565609730378,11565609730378,11565609730511,2,1,0,0,2279,115446,2544,112769,0
10796932,11565609884071,11565609886701,11565609982724,11565609982724,11565609982859,2,1,0,0,2384,98788,2630,96023,0
10796933,11565610116258,11565610118755,11565610147901,11565610147901,11565610148079,1,1,0,0,2181,31821,2497,29146,0
10796934,11565610178340,11565610180834,11565610207673,11565610207673,11565610207859,1,1,0,0,2248,29519,2494,26839,0
10796935,11565610249318,11565610251621,11565610276285,11565610276285,11565610276459,1,1,0,0,2046,27141,2303,24664,0
10796936,11565610336944,11565610339373,11565610418003,11565610418003,11565610418139,2,1,0,0,2184,81195,2429,78630,0
10796937,11565610526675,11565610529149,11565610599501,11565610599501,11565610599656,1,1,0,0,2282,72981,2474,70352,0
10796938,11565610750681,11565610753205,11565610796718,11565610796718,11565610796878,1,1,0,0,2289,46197,2524,43513,0
10796939,11565610883439,11565610885895,11565610945015,11565610945015,11565610945200,1,1,0,0,2276,61761,2456,59120,0
10796940,11565611158183,11565611160547,11565611231568,11565611231568,11565611231725,1,1,0,0,2097,73542,2364,71021,0
10796941,11565611452304,11565611454942,11565611515879,11565611515879,11565611516036,1,1,0,0,2404,63732,2638,60937,0
10796942,11565611716626,11565611719136,11565611777181,11565611777181,11565611777342,1,1,0,0,2247,60716,2510,58045,0
10796943,11565611914840,11565611917267,11565611972906,11565611972906,11565611973099,1,1,0,0,2119,58259,2427,55639,0
10796944,11565612133409,11565612135792,11565612193998,11565612193998,11565612194154,1,1,0,0,2120,60745,2383,58206,0
10796945,11565612383690,11565612386219,11565612427769,11565612427769,11565612427923,1,1,0,0,2298,44233,2529,41550,0
10796946,11565612524162,11565612526653,11565612563429,11565612563429,11565612563601,1,1,0,0,2257,39439,2491,36776,0
10796947,11565612725590,11565612728250,11565612835557,11565612835557,11565612835688,2,1,0,0,2391,110098,2660,107307,0
10796948,11565612994241,11565612996886,11565613097187,11565613097187,11565613097354,2,1,0,0,2430,103113,2645,100301,0
10796949,11565613232282,11565613234855,11565613260110,11565613260110,11565613260289,1,1,0,0,2331,28007,2573,25255,0
10796950,11565613300520,11565613302871,11565613321793,11565613321793,11565613321976,1,1,0,0,2092,21456,2351,18922,0
