Run_ID,Time_ms,Bandwidth_GBs
1,199.17,53.91
2,190.28,56.43
3,188.69,56.90
4,190.24,56.44
5,192.97,55.64
6,193.18,55.58
7,189.79,56.57
8,193.23,55.57
9,190.21,56.45
10,189.20,56.75
11,190.16,56.47
12,189.30,56.72
13,188.95,56.83
14,194.36,55.24
15,200.50,53.55
16,190.18,56.46
17,197.25,54.44
18,187.02,57.41
19,197.33,54.41
20,190.93,56.24
