batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
31460892,28035250028312,28035250034502,28035250327348,28035250327348,28035250327695,1,1,0,0,4551,299383,6190,292846,0
31460893,28035250359552,28035250363432,28035250499267,28035250499267,28035250499441,1,1,0,0,3556,139889,3880,135835,0
31460894,28035250542613,28035250545392,28035250592540,28035250592540,28035250592745,1,1,0,0,2409,50132,2779,47148,0
31460895,28035250698132,28035250700888,28035250796115,28035250796115,28035250796292,2,1,0,0,2394,98160,2756,95227,0
31460896,28035250933400,28035250936033,28035250996843,28035250996843,28035250997018,1,1,0,0,2427,63618,2633,60810,0
31460897,28035251202456,28035251205051,28035251288274,28035251288274,28035251288455,1,1,0,0,2312,85999,2595,83223,0
31460898,28035251610319,28035251613283,28035251668489,28035251668489,28035251668663,1,1,0,0,2383,58344,2964,55206,0
31460899,28035251849205,28035251851674,28035251875240,28035251875240,28035251875451,1,1,0,0,2150,26246,2469,23566,0
31460900,28035251922285,28035251924969,28035251991026,28035251991026,28035251991526,1,1,0,0,2343,69241,2684,66057,0
31460901,28035252202101,28035252204800,28035252267124,28035252267124,28035252267291,1,1,0,0,2319,65190,2699,62324,0
31460902,28035252436407,28035252438971,28035252548068,28035252548068,28035252548241,2,1,0,0,2297,111834,2564,109097,0
31460903,28035252837179,28035252840039,28035252863876,28035252863876,28035252864052,1,1,0,0,2543,26873,2860,23837,0
31460904,28035252896133,28035252898802,28035252962817,28035252962817,28035252962986,1,1,0,0,2341,66853,2669,64015,0
31460905,28035253175286,28035253177977,28035253239336,28035253239336,28035253239535,1,1,0,0,2324,64249,2691,61359,0
31460906,28035253405448,28035253408079,28035253500816,28035253500816,28035253501004,2,1,0,0,2384,95556,2631,92737,0
31460907,28035253725522,28035253728226,28035253774217,28035253774217,28035253774401,1,1,0,0,2373,48879,2704,45991,0
31460908,28035253866420,28035253868850,28035253893011,28035253893011,28035253893189,1,1,0,0,2112,26769,2430,24161,0
31460909,28035253920624,28035253923188,28035253992426,28035253992426,28035253992596,1,1,0,0,2243,71972,2564,69238,0
31460910,28035254203733,28035254206426,28035254268243,28035254268243,28035254268418,1,1,0,0,2356,64685,2693,61817,0
31460911,28035254433128,28035254435650,28035254529410,28035254529410,28035254529585,2,1,0,0,2273,96457,2522,93760,0
