Run_ID,Time_ms,Bandwidth_GBs
1,343.25,4.69
2,348.13,4.63
3,347.88,4.63
4,346.47,4.65
5,347.10,4.64
6,349.34,4.61
7,343.93,4.68
8,343.64,4.69
9,348.30,4.62
10,346.04,4.65
11,349.67,4.61
12,346.93,4.64
13,346.58,4.65
14,349.98,4.60
15,346.94,4.64
16,348.79,4.62
17,347.94,4.63
18,346.87,4.64
19,350.05,4.60
20,343.84,4.68
