Run_ID,Time_ms,Bandwidth_GBs
1,525.99,1.98
2,529.47,1.97
3,527.32,1.97
4,530.59,1.96
5,528.79,1.97
6,528.26,1.97
7,531.92,1.96
8,529.40,1.97
9,526.41,1.98
10,529.18,1.97
11,527.98,1.97
12,526.31,1.98
13,528.12,1.97
14,525.60,1.98
15,530.82,1.96
16,531.82,1.96
17,527.24,1.97
18,529.28,1.97
19,526.26,1.98
20,525.48,1.98
