threshold,comparison,n_base,n_arm,median_base,median_arm,delta_s,delta_pct,U,p,mwu_method,cohen_d,mde_s,mde_bonf_s,noout_n_base,noout_n_arm,noout_delta_s,noout_p,holm_threshold,holm_sig,noout_holm_sig,verdict
51,C7W512-t51 vs C0-t51,10,10,1.1264880000000002,1.0672555,-0.05923250000000024,-5.258156323014558,0.0,1.082508822446903e-05,exact,-2.4516153040981146,0.03509175304269235,0.040528097929096715,9,10,-0.05651650000000008,2.165017644893806e-05,0.016666666666666666,True,True,C7W512 faster
75,C7W512-t75 vs C0-t75,10,10,1.2593495,1.1318975,-0.1274519999999999,-10.12046298505696,0.0,1.082508822446903e-05,exact,-8.153457063681657,0.020411341581827662,0.023573426197492905,10,10,-0.1274519999999999,1.082508822446903e-05,0.025,True,True,C7W512 faster
100,C7W512-toff vs C0-toff,10,10,4.6600304999999995,3.679683,-0.9803474999999997,-21.037362309109348,0.0,1.082508822446903e-05,exact,-51.56125946548294,0.023815251459254012,0.02750466305209863,10,10,-0.9803474999999997,1.082508822446903e-05,0.05,True,True,C7W512 faster
