batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
20711741,15090782450370,15090782459688,15090782581228,15090782581228,15090782581574,1,1,0,0,8128,131204,9318,121540,0
20711742,15090782587534,15090782591110,15090782624500,15090782624500,15090782624825,1,1,0,0,3317,37291,3576,33390,0
20711743,15090782630264,15090782633332,15090782682092,15090782682092,15090782682334,1,1,0,0,2785,52070,3068,48760,0
20711744,15090782687472,15090782690528,15090782719931,15090782719931,15090782720170,1,1,0,0,2774,32698,3056,29403,0
20711745,15090782726451,15090782729482,15090782758842,15090782758842,15090782759083,1,1,0,0,2788,32632,3031,29360,0
20711746,15090782765201,15090782768239,15090782787126,15090782787126,15090782787346,1,1,0,0,2737,22145,3038,18887,0
20711747,15090784498498,15090784502096,15090784533353,15090784533353,15090784533603,1,1,0,0,3146,35105,3598,31257,0
20711748,15090785478531,15090785482097,15090785521410,15090785521410,15090785521682,1,1,0,0,3031,43151,3566,39313,0
20711749,15090786159889,15090786163618,15090786193100,15090786193100,15090786193344,1,1,0,0,3376,33455,3729,29482,0
20711750,15090786200150,15090786203356,15090786217279,15090786217279,15090786217491,1,1,0,0,2913,17341,3206,13923,0
20711751,15090787020409,15090787023630,15090787067571,15090787067571,15090787067833,1,1,0,0,2764,47424,3221,43941,0
20711752,15090789130133,15090789134820,15090789207269,15090789207269,15090789207616,1,1,0,0,4168,77483,4687,72449,0
20711753,15090789724013,15090789727548,15090789765857,15090789765857,15090789766107,1,1,0,0,3054,42094,3535,38309,0
20711754,15090789779383,15090789782467,15090789800867,15090789800867,15090789801104,1,1,0,0,2815,21721,3084,18400,0
20711755,15090792279774,15090792283280,15090792389722,15090792389722,15090792389932,1,1,0,0,3063,110158,3506,106442,0
20711756,15090796525076,15090796528792,15090796574094,15090796574094,15090796574313,1,1,0,0,3070,49237,3716,45302,0
