Run_ID,Time_ms,Bandwidth_GBs
1,376.96,4.27
2,379.21,4.25
3,378.14,4.26
4,381.17,4.23
5,378.60,4.25
6,385.94,4.17
7,383.49,4.20
8,378.44,4.26
9,379.18,4.25
10,385.48,4.18
11,382.43,4.21
12,382.25,4.21
13,378.77,4.25
14,383.82,4.20
15,381.98,4.22
16,379.58,4.24
17,381.73,4.22
18,380.27,4.24
19,379.20,4.25
20,380.06,4.24
